"seed_id","confounding_type","level","scenario_id","method_id","task_id","status"
"CONF09","joint",0.5,"CONF09_joint_0p50","winn_fixed_no_qc","CONF_069","planned"
"CONF10","joint",0.5,"CONF10_joint_0p50","winn_fixed_no_qc","CONF_070","planned"
"CONF01","batch",0.75,"CONF01_batch_0p75","winn_fixed_no_qc","CONF_071","planned"
"CONF02","batch",0.75,"CONF02_batch_0p75","winn_fixed_no_qc","CONF_072","planned"
"CONF03","batch",0.75,"CONF03_batch_0p75","winn_fixed_no_qc","CONF_073","planned"
"CONF04","batch",0.75,"CONF04_batch_0p75","winn_fixed_no_qc","CONF_074","planned"
"CONF05","batch",0.75,"CONF05_batch_0p75","winn_fixed_no_qc","CONF_075","planned"
"CONF06","batch",0.75,"CONF06_batch_0p75","winn_fixed_no_qc","CONF_076","planned"
"CONF07","batch",0.75,"CONF07_batch_0p75","winn_fixed_no_qc","CONF_077","planned"
"CONF08","batch",0.75,"CONF08_batch_0p75","winn_fixed_no_qc","CONF_078","planned"
"CONF09","batch",0.75,"CONF09_batch_0p75","winn_fixed_no_qc","CONF_079","planned"
"CONF10","batch",0.75,"CONF10_batch_0p75","winn_fixed_no_qc","CONF_080","planned"
"CONF01","run_order",0.75,"CONF01_run_order_0p75","winn_fixed_no_qc","CONF_081","planned"
"CONF02","run_order",0.75,"CONF02_run_order_0p75","winn_fixed_no_qc","CONF_082","planned"
"CONF03","run_order",0.75,"CONF03_run_order_0p75","winn_fixed_no_qc","CONF_083","planned"
"CONF04","run_order",0.75,"CONF04_run_order_0p75","winn_fixed_no_qc","CONF_084","planned"
"CONF05","run_order",0.75,"CONF05_run_order_0p75","winn_fixed_no_qc","CONF_085","planned"
"CONF06","run_order",0.75,"CONF06_run_order_0p75","winn_fixed_no_qc","CONF_086","planned"
"CONF07","run_order",0.75,"CONF07_run_order_0p75","winn_fixed_no_qc","CONF_087","planned"
"CONF08","run_order",0.75,"CONF08_run_order_0p75","winn_fixed_no_qc","CONF_088","planned"
"CONF09","run_order",0.75,"CONF09_run_order_0p75","winn_fixed_no_qc","CONF_089","planned"
"CONF10","run_order",0.75,"CONF10_run_order_0p75","winn_fixed_no_qc","CONF_090","planned"
"CONF01","joint",0.75,"CONF01_joint_0p75","winn_fixed_no_qc","CONF_091","planned"
"CONF02","joint",0.75,"CONF02_joint_0p75","winn_fixed_no_qc","CONF_092","planned"
"CONF03","joint",0.75,"CONF03_joint_0p75","winn_fixed_no_qc","CONF_093","planned"
"CONF04","joint",0.75,"CONF04_joint_0p75","winn_fixed_no_qc","CONF_094","planned"
"CONF05","joint",0.75,"CONF05_joint_0p75","winn_fixed_no_qc","CONF_095","planned"
"CONF06","joint",0.75,"CONF06_joint_0p75","winn_fixed_no_qc","CONF_096","planned"
"CONF07","joint",0.75,"CONF07_joint_0p75","winn_fixed_no_qc","CONF_097","planned"
"CONF08","joint",0.75,"CONF08_joint_0p75","winn_fixed_no_qc","CONF_098","planned"
"CONF09","joint",0.75,"CONF09_joint_0p75","winn_fixed_no_qc","CONF_099","planned"
"CONF10","joint",0.75,"CONF10_joint_0p75","winn_fixed_no_qc","CONF_100","planned"
"CONF01","batch",0.9,"CONF01_batch_0p90","winn_fixed_no_qc","CONF_101","planned"
"CONF02","batch",0.9,"CONF02_batch_0p90","winn_fixed_no_qc","CONF_102","planned"
"CONF03","batch",0.9,"CONF03_batch_0p90","winn_fixed_no_qc","CONF_103","planned"
"CONF04","batch",0.9,"CONF04_batch_0p90","winn_fixed_no_qc","CONF_104","planned"
"CONF05","batch",0.9,"CONF05_batch_0p90","winn_fixed_no_qc","CONF_105","planned"
"CONF06","batch",0.9,"CONF06_batch_0p90","winn_fixed_no_qc","CONF_106","planned"
"CONF07","batch",0.9,"CONF07_batch_0p90","winn_fixed_no_qc","CONF_107","planned"
"CONF08","batch",0.9,"CONF08_batch_0p90","winn_fixed_no_qc","CONF_108","planned"
"CONF09","batch",0.9,"CONF09_batch_0p90","winn_fixed_no_qc","CONF_109","planned"
"CONF10","batch",0.9,"CONF10_batch_0p90","winn_fixed_no_qc","CONF_110","planned"
"CONF01","run_order",0.9,"CONF01_run_order_0p90","winn_fixed_no_qc","CONF_111","planned"
"CONF02","run_order",0.9,"CONF02_run_order_0p90","winn_fixed_no_qc","CONF_112","planned"
"CONF03","run_order",0.9,"CONF03_run_order_0p90","winn_fixed_no_qc","CONF_113","planned"
"CONF04","run_order",0.9,"CONF04_run_order_0p90","winn_fixed_no_qc","CONF_114","planned"
"CONF05","run_order",0.9,"CONF05_run_order_0p90","winn_fixed_no_qc","CONF_115","planned"
"CONF06","run_order",0.9,"CONF06_run_order_0p90","winn_fixed_no_qc","CONF_116","planned"
"CONF07","run_order",0.9,"CONF07_run_order_0p90","winn_fixed_no_qc","CONF_117","planned"
"CONF08","run_order",0.9,"CONF08_run_order_0p90","winn_fixed_no_qc","CONF_118","planned"
"CONF09","run_order",0.9,"CONF09_run_order_0p90","winn_fixed_no_qc","CONF_119","planned"
"CONF10","run_order",0.9,"CONF10_run_order_0p90","winn_fixed_no_qc","CONF_120","planned"
"CONF01","joint",0.9,"CONF01_joint_0p90","winn_fixed_no_qc","CONF_121","planned"
"CONF02","joint",0.9,"CONF02_joint_0p90","winn_fixed_no_qc","CONF_122","planned"
"CONF03","joint",0.9,"CONF03_joint_0p90","winn_fixed_no_qc","CONF_123","planned"
"CONF04","joint",0.9,"CONF04_joint_0p90","winn_fixed_no_qc","CONF_124","planned"
"CONF05","joint",0.9,"CONF05_joint_0p90","winn_fixed_no_qc","CONF_125","planned"
"CONF06","joint",0.9,"CONF06_joint_0p90","winn_fixed_no_qc","CONF_126","planned"
"CONF07","joint",0.9,"CONF07_joint_0p90","winn_fixed_no_qc","CONF_127","planned"
"CONF08","joint",0.9,"CONF08_joint_0p90","winn_fixed_no_qc","CONF_128","planned"
"CONF09","joint",0.9,"CONF09_joint_0p90","winn_fixed_no_qc","CONF_129","planned"
"CONF10","joint",0.9,"CONF10_joint_0p90","winn_fixed_no_qc","CONF_130","planned"
"CONF01","batch",1,"CONF01_batch_1p00","winn_fixed_no_qc","CONF_131","planned"
"CONF02","batch",1,"CONF02_batch_1p00","winn_fixed_no_qc","CONF_132","planned"
"CONF03","batch",1,"CONF03_batch_1p00","winn_fixed_no_qc","CONF_133","planned"
"CONF04","batch",1,"CONF04_batch_1p00","winn_fixed_no_qc","CONF_134","planned"
