"dataset_key","dataset","method_id","method","metric","value","direction","denominator","units","metric_label","gate"
"batchcorr_set1","BatchCorr Set 1","G_SA","selective/all","residual_run_order_gam_mean_deviance",0.043732849175648,"lower",1990,"proportion","Residual GAM deviance","Selective/All"
"batchcorr_set1","BatchCorr Set 1","G_SA","selective/all","batch_weighted_pc_r2_categorical",0.00050452677871665,"lower",710,"weighted R-squared","Batch weighted-PC R²","Selective/All"
"batchcorr_set1","BatchCorr Set 1","G_SA","selective/all","feature_repeatability_ratio_median",0.695081216990993,"higher",199,"repeatability ratio","Feature repeatability","Selective/All"
"batchcorr_set1","BatchCorr Set 1","G_SA","selective/all","sample_replicate_pearson_median",0.957090033886896,"higher",352,"correlation","Sample Pearson","Selective/All"
"batchcorr_set1","BatchCorr Set 1","G_AA","all/all","heldout_qc_cv_mean",28.5016433990488,"lower",199,"percent","Held-out QC CV (%)","All/All"
"batchcorr_set1","BatchCorr Set 1","G_AA","all/all","residual_run_order_gam_mean_deviance",0.00082464809783633,"lower",1990,"proportion","Residual GAM deviance","All/All"
"batchcorr_set1","BatchCorr Set 1","G_AA","all/all","batch_weighted_pc_r2_categorical",0.000726388982066674,"lower",710,"weighted R-squared","Batch weighted-PC R²","All/All"
"batchcorr_set1","BatchCorr Set 1","G_AA","all/all","feature_repeatability_ratio_median",0.682518978311824,"higher",199,"repeatability ratio","Feature repeatability","All/All"
"batchcorr_set1","BatchCorr Set 1","G_AA","all/all","sample_replicate_pearson_median",0.956969722286409,"higher",352,"correlation","Sample Pearson","All/All"
"sacurine","Sacurine","G_SS","selective/selective","heldout_qc_cv_mean",22.421913234801,"lower",113,"percent","Held-out QC CV (%)","Selective/Selective"
"sacurine","Sacurine","G_SS","selective/selective","residual_run_order_gam_mean_deviance",0.0520147926987853,"lower",226,"proportion","Residual GAM deviance","Selective/Selective"
"sacurine","Sacurine","G_SS","selective/selective","batch_weighted_pc_r2_categorical",0.000737747609499402,"lower",184,"weighted R-squared","Batch weighted-PC R²","Selective/Selective"
"sacurine","Sacurine","G_AS","all/selective","heldout_qc_cv_mean",23.5042049558585,"lower",113,"percent","Held-out QC CV (%)","All/Selective"
"sacurine","Sacurine","G_AS","all/selective","residual_run_order_gam_mean_deviance",0.00452082116102002,"lower",226,"proportion","Residual GAM deviance","All/Selective"
"sacurine","Sacurine","G_AS","all/selective","batch_weighted_pc_r2_categorical",0.00105850874958049,"lower",184,"weighted R-squared","Batch weighted-PC R²","All/Selective"
"sacurine","Sacurine","G_SA","selective/all","heldout_qc_cv_mean",21.9299926994854,"lower",113,"percent","Held-out QC CV (%)","Selective/All"
"sacurine","Sacurine","G_SA","selective/all","residual_run_order_gam_mean_deviance",0.0523762634412072,"lower",226,"proportion","Residual GAM deviance","Selective/All"
"sacurine","Sacurine","G_SA","selective/all","batch_weighted_pc_r2_categorical",0.000442153745158434,"lower",184,"weighted R-squared","Batch weighted-PC R²","Selective/All"
"sacurine","Sacurine","G_AA","all/all","heldout_qc_cv_mean",22.9626454620396,"lower",113,"percent","Held-out QC CV (%)","All/All"
"sacurine","Sacurine","G_AA","all/all","residual_run_order_gam_mean_deviance",0.00483435797740552,"lower",226,"proportion","Residual GAM deviance","All/All"
"sacurine","Sacurine","G_AA","all/all","batch_weighted_pc_r2_categorical",0.000841918579778785,"lower",184,"weighted R-squared","Batch weighted-PC R²","All/All"
"waveica","WaveICA","G_SS","selective/selective","heldout_qc_cv_mean",38.3003440498814,"lower",6461,"percent","Held-out QC CV (%)","Selective/Selective"
"waveica","WaveICA","G_SS","selective/selective","residual_run_order_gam_mean_deviance",0.0141634445598343,"lower",19383,"proportion","Residual GAM deviance","Selective/Selective"
"waveica","WaveICA","G_SS","selective/selective","batch_weighted_pc_r2_categorical",0.00207900815504909,"lower",568,"weighted R-squared","Batch weighted-PC R²","Selective/Selective"
"waveica","WaveICA","G_AS","all/selective","heldout_qc_cv_mean",38.973854310665,"lower",6461,"percent","Held-out QC CV (%)","All/Selective"
"waveica","WaveICA","G_AS","all/selective","residual_run_order_gam_mean_deviance",0.00187501034065054,"lower",19383,"proportion","Residual GAM deviance","All/Selective"
"waveica","WaveICA","G_AS","all/selective","batch_weighted_pc_r2_categorical",0.00148661487004652,"lower",568,"weighted R-squared","Batch weighted-PC R²","All/Selective"
"waveica","WaveICA","G_SA","selective/all","heldout_qc_cv_mean",38.2939983950556,"lower",6461,"percent","Held-out QC CV (%)","Selective/All"
"waveica","WaveICA","G_SA","selective/all","residual_run_order_gam_mean_deviance",0.0141637417979582,"lower",19383,"proportion","Residual GAM deviance","Selective/All"
"waveica","WaveICA","G_SA","selective/all","batch_weighted_pc_r2_categorical",0.0020631185319165,"lower",568,"weighted R-squared","Batch weighted-PC R²","Selective/All"
"waveica","WaveICA","G_AA","all/all","heldout_qc_cv_mean",38.9695454458858,"lower",6461,"percent","Held-out QC CV (%)","All/All"
"waveica","WaveICA","G_AA","all/all","residual_run_order_gam_mean_deviance",0.00187535250880175,"lower",19383,"proportion","Residual GAM deviance","All/All"
"waveica","WaveICA","G_AA","all/all","batch_weighted_pc_r2_categorical",0.0014695177526822,"lower",568,"weighted R-squared","Batch weighted-PC R²","All/All"
