"metric","value","direction","denominator","units","notes","dataset_key","method_id","method","dataset","metric_label"
"heldout_qc_cv_mean",13.8067334269856,"lower",2488,"percent","","mtbls79","tiger","TIGER","MTBLS79","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.00216036977491961,"lower",19904,"proportion","","mtbls79","tiger","TIGER","MTBLS79","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.141563001447443,"lower",19904,"proportion","","mtbls79","tiger","TIGER","MTBLS79","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.00841627689119447,"lower",134,"weighted R-squared","Batch is explicitly categorical.","mtbls79","serrf","SERRF","MTBLS79","Batch weighted-PC R²"
"heldout_qc_cv_mean",17.1093472644473,"lower",2488,"percent","","mtbls79","serrf","SERRF","MTBLS79","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.00296422829581994,"lower",19904,"proportion","","mtbls79","serrf","SERRF","MTBLS79","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.141716005240871,"lower",19904,"proportion","","mtbls79","serrf","SERRF","MTBLS79","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.0112766397992278,"lower",134,"weighted R-squared","Batch is explicitly categorical.","mtbls79","winn_auto_qc","WiNN auto (QC)","MTBLS79","Batch weighted-PC R²"
"heldout_qc_cv_mean",15.9914877921284,"lower",2488,"percent","","mtbls79","winn_auto_qc","WiNN auto (QC)","MTBLS79","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.000904340836012862,"lower",19904,"proportion","","mtbls79","winn_auto_qc","WiNN auto (QC)","MTBLS79","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.139680203207515,"lower",19904,"proportion","","mtbls79","winn_auto_qc","WiNN auto (QC)","MTBLS79","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.0244132144404738,"lower",134,"weighted R-squared","Batch is explicitly categorical.","mtbls79","winn_auto_batch_qc","WiNN auto-batch (QC)","MTBLS79","Batch weighted-PC R²"
"heldout_qc_cv_mean",17.2970798365999,"lower",2488,"percent","","mtbls79","winn_auto_batch_qc","WiNN auto-batch (QC)","MTBLS79","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.0010048231511254,"lower",19904,"proportion","","mtbls79","winn_auto_batch_qc","WiNN auto-batch (QC)","MTBLS79","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.137855571136823,"lower",19904,"proportion","","mtbls79","winn_auto_batch_qc","WiNN auto-batch (QC)","MTBLS79","Residual GAM deviance"
