"metric","value","direction","denominator","units","notes","dataset_key","method_id","method","dataset","metric_label"
"sample_replicate_pearson_median",0.987998934131833,"higher",267,"correlation","","clinical_fiams","qc_rlsc","QC-RLSC","Clinical FIA-MS","Sample Pearson"
"biological_weighted_pc_r2",0.794136388172709,"higher",536,"weighted R-squared","","clinical_fiams","qc_rfsc","QC-RFSC","Clinical FIA-MS","Biological PC R²"
"feature_repeatability_ratio_median",0.714804949777671,"higher",1594,"repeatability ratio","","clinical_fiams","qc_rfsc","QC-RFSC","Clinical FIA-MS","Feature repeatability"
"genuine_replicate_icc_median",0.989369318335346,"higher",267,"ICC(A,1)","","clinical_fiams","qc_rfsc","QC-RFSC","Clinical FIA-MS","Replicate-profile ICC"
"sample_replicate_pearson_median",0.991938486181745,"higher",267,"correlation","","clinical_fiams","qc_rfsc","QC-RFSC","Clinical FIA-MS","Sample Pearson"
"biological_weighted_pc_r2",0.791567942171666,"higher",536,"weighted R-squared","","clinical_fiams","tiger","TIGER","Clinical FIA-MS","Biological PC R²"
"feature_repeatability_ratio_median",0.693714356986008,"higher",1594,"repeatability ratio","","clinical_fiams","tiger","TIGER","Clinical FIA-MS","Feature repeatability"
"genuine_replicate_icc_median",0.989190248939537,"higher",267,"ICC(A,1)","","clinical_fiams","tiger","TIGER","Clinical FIA-MS","Replicate-profile ICC"
"sample_replicate_pearson_median",0.990178129786107,"higher",267,"correlation","","clinical_fiams","tiger","TIGER","Clinical FIA-MS","Sample Pearson"
"biological_weighted_pc_r2",0.784147036532642,"higher",536,"weighted R-squared","","clinical_fiams","serrf","SERRF","Clinical FIA-MS","Biological PC R²"
"feature_repeatability_ratio_median",0.698061577326195,"higher",1594,"repeatability ratio","","clinical_fiams","serrf","SERRF","Clinical FIA-MS","Feature repeatability"
"genuine_replicate_icc_median",0.987794959818337,"higher",267,"ICC(A,1)","","clinical_fiams","serrf","SERRF","Clinical FIA-MS","Replicate-profile ICC"
"sample_replicate_pearson_median",0.989048658011503,"higher",267,"correlation","","clinical_fiams","serrf","SERRF","Clinical FIA-MS","Sample Pearson"
"biological_weighted_pc_r2",0.820814794712933,"higher",536,"weighted R-squared","","clinical_fiams","winn_auto_qc","WiNN auto (QC)","Clinical FIA-MS","Biological PC R²"
"feature_repeatability_ratio_median",0.676814503051903,"higher",1594,"repeatability ratio","","clinical_fiams","winn_auto_qc","WiNN auto (QC)","Clinical FIA-MS","Feature repeatability"
"genuine_replicate_icc_median",0.990720060604579,"higher",267,"ICC(A,1)","","clinical_fiams","winn_auto_qc","WiNN auto (QC)","Clinical FIA-MS","Replicate-profile ICC"
"sample_replicate_pearson_median",0.990847998063996,"higher",267,"correlation","","clinical_fiams","winn_auto_qc","WiNN auto (QC)","Clinical FIA-MS","Sample Pearson"
"biological_weighted_pc_r2",0.808935545781455,"higher",536,"weighted R-squared","","clinical_fiams","winn_auto_batch_qc","WiNN auto-batch (QC)","Clinical FIA-MS","Biological PC R²"
"feature_repeatability_ratio_median",0.67265435278078,"higher",1594,"repeatability ratio","","clinical_fiams","winn_auto_batch_qc","WiNN auto-batch (QC)","Clinical FIA-MS","Feature repeatability"
"genuine_replicate_icc_median",0.990850928299843,"higher",267,"ICC(A,1)","","clinical_fiams","winn_auto_batch_qc","WiNN auto-batch (QC)","Clinical FIA-MS","Replicate-profile ICC"
"sample_replicate_pearson_median",0.990988516405754,"higher",267,"correlation","","clinical_fiams","winn_auto_batch_qc","WiNN auto-batch (QC)","Clinical FIA-MS","Sample Pearson"
"biological_weighted_pc_r2",0.799363081954994,"higher",536,"weighted R-squared","","clinical_fiams","winn_fixed_no_qc","WiNN fixed default (no QC)","Clinical FIA-MS","Biological PC R²"
"feature_repeatability_ratio_median",0.659272129860823,"higher",1594,"repeatability ratio","","clinical_fiams","winn_fixed_no_qc","WiNN fixed default (no QC)","Clinical FIA-MS","Feature repeatability"
"genuine_replicate_icc_median",0.989834812702034,"higher",267,"ICC(A,1)","","clinical_fiams","winn_fixed_no_qc","WiNN fixed default (no QC)","Clinical FIA-MS","Replicate-profile ICC"
"sample_replicate_pearson_median",0.990747863696587,"higher",267,"correlation","","clinical_fiams","winn_fixed_no_qc","WiNN fixed default (no QC)","Clinical FIA-MS","Sample Pearson"
"biological_weighted_pc_r2",0.589667357711897,"higher",710,"weighted R-squared","","batchcorr_set1","raw","Raw","BatchCorr Set 1","Biological PC R²"
"feature_repeatability_ratio_median",0.52175027169439,"higher",199,"repeatability ratio","","batchcorr_set1","raw","Raw","BatchCorr Set 1","Feature repeatability"
"genuine_replicate_icc_median",0.8853604114021,"higher",352,"ICC(A,1)","","batchcorr_set1","raw","Raw","BatchCorr Set 1","Replicate-profile ICC"
"sample_replicate_pearson_median",0.911453639180002,"higher",352,"correlation","","batchcorr_set1","raw","Raw","BatchCorr Set 1","Sample Pearson"
"biological_weighted_pc_r2",0.762101821085461,"higher",710,"weighted R-squared","","batchcorr_set1","combat","ComBat","BatchCorr Set 1","Biological PC R²"
"feature_repeatability_ratio_median",0.676592500553593,"higher",199,"repeatability ratio","","batchcorr_set1","combat","ComBat","BatchCorr Set 1","Feature repeatability"
"genuine_replicate_icc_median",0.940278067267788,"higher",352,"ICC(A,1)","","batchcorr_set1","combat","ComBat","BatchCorr Set 1","Replicate-profile ICC"
"sample_replicate_pearson_median",0.949355926423882,"higher",352,"correlation","","batchcorr_set1","combat","ComBat","BatchCorr Set 1","Sample Pearson"
"biological_weighted_pc_r2",0.805346825674997,"higher",710,"weighted R-squared","","batchcorr_set1","qc_rlsc","QC-RLSC","BatchCorr Set 1","Biological PC R²"
"feature_repeatability_ratio_median",0.701239503420736,"higher",199,"repeatability ratio","","batchcorr_set1","qc_rlsc","QC-RLSC","BatchCorr Set 1","Feature repeatability"
"genuine_replicate_icc_median",0.942322287292246,"higher",352,"ICC(A,1)","","batchcorr_set1","qc_rlsc","QC-RLSC","BatchCorr Set 1","Replicate-profile ICC"
"sample_replicate_pearson_median",0.949840425728827,"higher",352,"correlation","","batchcorr_set1","qc_rlsc","QC-RLSC","BatchCorr Set 1","Sample Pearson"
"biological_weighted_pc_r2",0.656552743426929,"higher",710,"weighted R-squared","","batchcorr_set1","qc_rfsc","QC-RFSC","BatchCorr Set 1","Biological PC R²"
"feature_repeatability_ratio_median",0.61157325042727,"higher",199,"repeatability ratio","","batchcorr_set1","qc_rfsc","QC-RFSC","BatchCorr Set 1","Feature repeatability"
"genuine_replicate_icc_median",0.993521166046679,"higher",352,"ICC(A,1)","","batchcorr_set1","qc_rfsc","QC-RFSC","BatchCorr Set 1","Replicate-profile ICC"
"sample_replicate_pearson_median",0.994723502030228,"higher",352,"correlation","","batchcorr_set1","qc_rfsc","QC-RFSC","BatchCorr Set 1","Sample Pearson"
"biological_weighted_pc_r2",0.801420424862291,"higher",710,"weighted R-squared","","batchcorr_set1","tiger","TIGER","BatchCorr Set 1","Biological PC R²"
"feature_repeatability_ratio_median",0.674481755057735,"higher",199,"repeatability ratio","","batchcorr_set1","tiger","TIGER","BatchCorr Set 1","Feature repeatability"
"genuine_replicate_icc_median",0.939232882979632,"higher",352,"ICC(A,1)","","batchcorr_set1","tiger","TIGER","BatchCorr Set 1","Replicate-profile ICC"
"sample_replicate_pearson_median",0.946168373317855,"higher",352,"correlation","","batchcorr_set1","tiger","TIGER","BatchCorr Set 1","Sample Pearson"
"biological_weighted_pc_r2",0.748052224380426,"higher",710,"weighted R-squared","","batchcorr_set1","serrf","SERRF","BatchCorr Set 1","Biological PC R²"
"feature_repeatability_ratio_median",0.665367807037627,"higher",199,"repeatability ratio","","batchcorr_set1","serrf","SERRF","BatchCorr Set 1","Feature repeatability"
"genuine_replicate_icc_median",0.937650573623322,"higher",352,"ICC(A,1)","","batchcorr_set1","serrf","SERRF","BatchCorr Set 1","Replicate-profile ICC"
"sample_replicate_pearson_median",0.948209823659858,"higher",352,"correlation","","batchcorr_set1","serrf","SERRF","BatchCorr Set 1","Sample Pearson"
"biological_weighted_pc_r2",0.843276697598098,"higher",710,"weighted R-squared","","batchcorr_set1","winn_auto_qc","WiNN auto (QC)","BatchCorr Set 1","Biological PC R²"
"feature_repeatability_ratio_median",0.701627398908381,"higher",199,"repeatability ratio","","batchcorr_set1","winn_auto_qc","WiNN auto (QC)","BatchCorr Set 1","Feature repeatability"
"genuine_replicate_icc_median",0.956281228043333,"higher",352,"ICC(A,1)","","batchcorr_set1","winn_auto_qc","WiNN auto (QC)","BatchCorr Set 1","Replicate-profile ICC"
"sample_replicate_pearson_median",0.956455981699553,"higher",352,"correlation","","batchcorr_set1","winn_auto_qc","WiNN auto (QC)","BatchCorr Set 1","Sample Pearson"
"biological_weighted_pc_r2",0.832337531674397,"higher",710,"weighted R-squared","","batchcorr_set1","winn_auto_batch_qc","WiNN auto-batch (QC)","BatchCorr Set 1","Biological PC R²"
"feature_repeatability_ratio_median",0.697962844257478,"higher",199,"repeatability ratio","","batchcorr_set1","winn_auto_batch_qc","WiNN auto-batch (QC)","BatchCorr Set 1","Feature repeatability"
"genuine_replicate_icc_median",0.955033829071577,"higher",352,"ICC(A,1)","","batchcorr_set1","winn_auto_batch_qc","WiNN auto-batch (QC)","BatchCorr Set 1","Replicate-profile ICC"
"sample_replicate_pearson_median",0.955530543368313,"higher",352,"correlation","","batchcorr_set1","winn_auto_batch_qc","WiNN auto-batch (QC)","BatchCorr Set 1","Sample Pearson"
"biological_weighted_pc_r2",0.829484175037435,"higher",710,"weighted R-squared","","batchcorr_set1","winn_fixed_no_qc","WiNN fixed default (no QC)","BatchCorr Set 1","Biological PC R²"
"feature_repeatability_ratio_median",0.695315540683156,"higher",199,"repeatability ratio","","batchcorr_set1","winn_fixed_no_qc","WiNN fixed default (no QC)","BatchCorr Set 1","Feature repeatability"
"genuine_replicate_icc_median",0.953917516280415,"higher",352,"ICC(A,1)","","batchcorr_set1","winn_fixed_no_qc","WiNN fixed default (no QC)","BatchCorr Set 1","Replicate-profile ICC"
"sample_replicate_pearson_median",0.957541057965195,"higher",352,"correlation","","batchcorr_set1","winn_fixed_no_qc","WiNN fixed default (no QC)","BatchCorr Set 1","Sample Pearson"
"biological_weighted_pc_r2",0.0241181676205405,"higher",3,"weighted R-squared","","sacurine","raw","Raw","Sacurine","Biological PC R²"
"cross_batch_effect_pearson_median",0.535009679276094,"higher",3,"correlation","","sacurine","raw","Raw","Sacurine","Effect Pearson"
"biological_weighted_pc_r2",0.0269894116515146,"higher",3,"weighted R-squared","","sacurine","combat","ComBat","Sacurine","Biological PC R²"
"cross_batch_effect_pearson_median",0.529143990274528,"higher",3,"correlation","","sacurine","combat","ComBat","Sacurine","Effect Pearson"
"biological_weighted_pc_r2",0.0393374198653091,"higher",3,"weighted R-squared","","sacurine","qc_rlsc","QC-RLSC","Sacurine","Biological PC R²"
"cross_batch_effect_pearson_median",0.536127596844908,"higher",3,"correlation","","sacurine","qc_rlsc","QC-RLSC","Sacurine","Effect Pearson"
"biological_weighted_pc_r2",0.0481466086536595,"higher",3,"weighted R-squared","","sacurine","qc_rfsc","QC-RFSC","Sacurine","Biological PC R²"
"cross_batch_effect_pearson_median",0.496674712697641,"higher",3,"correlation","","sacurine","qc_rfsc","QC-RFSC","Sacurine","Effect Pearson"
"biological_weighted_pc_r2",0.0370870503948378,"higher",3,"weighted R-squared","","sacurine","tiger","TIGER","Sacurine","Biological PC R²"
"cross_batch_effect_pearson_median",0.492172408403618,"higher",3,"correlation","","sacurine","tiger","TIGER","Sacurine","Effect Pearson"
"biological_weighted_pc_r2",0.0331043302571546,"higher",3,"weighted R-squared","","sacurine","serrf","SERRF","Sacurine","Biological PC R²"
"cross_batch_effect_pearson_median",0.544101149303009,"higher",3,"correlation","","sacurine","serrf","SERRF","Sacurine","Effect Pearson"
"biological_weighted_pc_r2",0.0488286682263038,"higher",3,"weighted R-squared","","sacurine","winn_auto_qc","WiNN auto (QC)","Sacurine","Biological PC R²"
"cross_batch_effect_pearson_median",0.566958884057713,"higher",3,"correlation","","sacurine","winn_auto_qc","WiNN auto (QC)","Sacurine","Effect Pearson"
"biological_weighted_pc_r2",0.0479565940051655,"higher",3,"weighted R-squared","","sacurine","winn_auto_batch_qc","WiNN auto-batch (QC)","Sacurine","Biological PC R²"
"cross_batch_effect_pearson_median",0.565550550372571,"higher",3,"correlation","","sacurine","winn_auto_batch_qc","WiNN auto-batch (QC)","Sacurine","Effect Pearson"
"biological_weighted_pc_r2",0.0457852706905809,"higher",3,"weighted R-squared","","sacurine","winn_fixed_no_qc","WiNN fixed default (no QC)","Sacurine","Biological PC R²"
"cross_batch_effect_pearson_median",0.537221386297552,"higher",3,"correlation","","sacurine","winn_fixed_no_qc","WiNN fixed default (no QC)","Sacurine","Effect Pearson"
"biological_weighted_pc_r2",0.00276573078388549,"higher",568,"weighted R-squared","","waveica","raw","Raw","WaveICA","Biological PC R²"
"cross_batch_effect_pearson_median",0.261918456568283,"higher",3,"correlation","","waveica","raw","Raw","WaveICA","Effect Pearson"
"biological_weighted_pc_r2",0.00743208924888678,"higher",568,"weighted R-squared","","waveica","combat","ComBat","WaveICA","Biological PC R²"
"cross_batch_effect_pearson_median",0.264101991446489,"higher",3,"correlation","","waveica","combat","ComBat","WaveICA","Effect Pearson"
"biological_weighted_pc_r2",0.0114766457778449,"higher",568,"weighted R-squared","","waveica","qc_rlsc","QC-RLSC","WaveICA","Biological PC R²"
"cross_batch_effect_pearson_median",0.260713661433927,"higher",3,"correlation","","waveica","qc_rlsc","QC-RLSC","WaveICA","Effect Pearson"
"biological_weighted_pc_r2",0.0097539590939671,"higher",568,"weighted R-squared","","waveica","qc_rfsc","QC-RFSC","WaveICA","Biological PC R²"
"cross_batch_effect_pearson_median",0.357673146501632,"higher",3,"correlation","","waveica","qc_rfsc","QC-RFSC","WaveICA","Effect Pearson"
"biological_weighted_pc_r2",0.00672360399596334,"higher",568,"weighted R-squared","","waveica","tiger","TIGER","WaveICA","Biological PC R²"
"cross_batch_effect_pearson_median",0.225219495165985,"higher",3,"correlation","","waveica","tiger","TIGER","WaveICA","Effect Pearson"
"biological_weighted_pc_r2",0.00941153986851976,"higher",568,"weighted R-squared","","waveica","serrf","SERRF","WaveICA","Biological PC R²"
"cross_batch_effect_pearson_median",0.220201288823857,"higher",3,"correlation","","waveica","serrf","SERRF","WaveICA","Effect Pearson"
"biological_weighted_pc_r2",0.0150023981703196,"higher",568,"weighted R-squared","","waveica","winn_auto_qc","WiNN auto (QC)","WaveICA","Biological PC R²"
"cross_batch_effect_pearson_median",0.283237072253612,"higher",3,"correlation","","waveica","winn_auto_qc","WiNN auto (QC)","WaveICA","Effect Pearson"
"biological_weighted_pc_r2",0.004566263614326,"higher",568,"weighted R-squared","","waveica","winn_auto_batch_qc","WiNN auto-batch (QC)","WaveICA","Biological PC R²"
"cross_batch_effect_pearson_median",0.268435255972362,"higher",3,"correlation","","waveica","winn_auto_batch_qc","WiNN auto-batch (QC)","WaveICA","Effect Pearson"
"biological_weighted_pc_r2",0.0142279960061751,"higher",568,"weighted R-squared","","waveica","winn_fixed_no_qc","WiNN fixed default (no QC)","WaveICA","Biological PC R²"
"cross_batch_effect_pearson_median",0.266637781078006,"higher",3,"correlation","","waveica","winn_fixed_no_qc","WiNN fixed default (no QC)","WaveICA","Effect Pearson"
