"metric","value","direction","denominator","units","notes","dataset_key","method_id","method","split_id","dataset","metric_label"
"residual_run_order_gam_mean_deviance",0.020259360410254,"lower",5000,"proportion","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT05","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",44.5987305577556,"lower",1000,"percent","","simulation","raw","Raw","SPLIT06","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.12764961730634,"lower",5000,"proportion","","simulation","raw","Raw","SPLIT06","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",12.5112388976495,"lower",1000,"percent","","simulation","combat","ComBat","SPLIT06","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.127649520286793,"lower",5000,"proportion","","simulation","combat","ComBat","SPLIT06","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",11.7155478644849,"lower",1000,"percent","","simulation","qc_rlsc","QC-RLSC","SPLIT06","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.0544867663418412,"lower",5000,"proportion","","simulation","qc_rlsc","QC-RLSC","SPLIT06","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",22.5092973942112,"lower",1000,"percent","","simulation","qc_rfsc","QC-RFSC","SPLIT06","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.128892720575536,"lower",5000,"proportion","","simulation","qc_rfsc","QC-RFSC","SPLIT06","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",10.2336196525388,"lower",1000,"percent","","simulation","tiger","TIGER","SPLIT06","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.0844334497923624,"lower",5000,"proportion","","simulation","tiger","TIGER","SPLIT06","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",12.8624709528123,"lower",1000,"percent","","simulation","serrf","SERRF","SPLIT06","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.0987126501303642,"lower",5000,"proportion","","simulation","serrf","SERRF","SPLIT06","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",8.73876834474724,"lower",1000,"percent","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT06","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.0190593086584231,"lower",5000,"proportion","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT06","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",15.3586135838638,"lower",1000,"percent","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT06","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.138889011064796,"lower",5000,"proportion","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT06","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",8.75389803059068,"lower",1000,"percent","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT06","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.020259360410254,"lower",5000,"proportion","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT06","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",44.7617091458965,"lower",1000,"percent","","simulation","raw","Raw","SPLIT07","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.12764961730634,"lower",5000,"proportion","","simulation","raw","Raw","SPLIT07","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",13.0641427549421,"lower",1000,"percent","","simulation","combat","ComBat","SPLIT07","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.127649520286793,"lower",5000,"proportion","","simulation","combat","ComBat","SPLIT07","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",10.6654154144277,"lower",1000,"percent","","simulation","qc_rlsc","QC-RLSC","SPLIT07","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.050625947334324,"lower",5000,"proportion","","simulation","qc_rlsc","QC-RLSC","SPLIT07","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",17.2572555208023,"lower",1000,"percent","","simulation","qc_rfsc","QC-RFSC","SPLIT07","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.114885262296548,"lower",5000,"proportion","","simulation","qc_rfsc","QC-RFSC","SPLIT07","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",9.72726934909442,"lower",1000,"percent","","simulation","tiger","TIGER","SPLIT07","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.0851209647537417,"lower",5000,"proportion","","simulation","tiger","TIGER","SPLIT07","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",12.8273332294988,"lower",1000,"percent","","simulation","serrf","SERRF","SPLIT07","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.0996797715749876,"lower",5000,"proportion","","simulation","serrf","SERRF","SPLIT07","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",8.73729837167429,"lower",1000,"percent","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT07","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.0190579357766921,"lower",5000,"proportion","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT07","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",14.7649046420766,"lower",1000,"percent","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT07","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.138876924422289,"lower",5000,"proportion","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT07","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",8.74938299514179,"lower",1000,"percent","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT07","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.020259360410254,"lower",5000,"proportion","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT07","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",45.2045553237214,"lower",1000,"percent","","simulation","raw","Raw","SPLIT08","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.12764961730634,"lower",5000,"proportion","","simulation","raw","Raw","SPLIT08","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",13.3454644832862,"lower",1000,"percent","","simulation","combat","ComBat","SPLIT08","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.127649520286793,"lower",5000,"proportion","","simulation","combat","ComBat","SPLIT08","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",10.3754726631666,"lower",1000,"percent","","simulation","qc_rlsc","QC-RLSC","SPLIT08","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.0483406952812169,"lower",5000,"proportion","","simulation","qc_rlsc","QC-RLSC","SPLIT08","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",14.0019178064966,"lower",1000,"percent","","simulation","qc_rfsc","QC-RFSC","SPLIT08","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.119999955230393,"lower",5000,"proportion","","simulation","qc_rfsc","QC-RFSC","SPLIT08","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",9.19246967068656,"lower",1000,"percent","","simulation","tiger","TIGER","SPLIT08","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.083784761818831,"lower",5000,"proportion","","simulation","tiger","TIGER","SPLIT08","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",13.0729275820881,"lower",1000,"percent","","simulation","serrf","SERRF","SPLIT08","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.0983444529314826,"lower",5000,"proportion","","simulation","serrf","SERRF","SPLIT08","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",8.81834523848638,"lower",1000,"percent","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT08","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.0190512552290531,"lower",5000,"proportion","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT08","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",14.2531054175399,"lower",1000,"percent","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT08","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.138892923691596,"lower",5000,"proportion","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT08","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",8.8713281400418,"lower",1000,"percent","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT08","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.020259360410254,"lower",5000,"proportion","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT08","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",45.4676899230283,"lower",1000,"percent","","simulation","raw","Raw","SPLIT09","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.12764961730634,"lower",5000,"proportion","","simulation","raw","Raw","SPLIT09","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",13.3290045462367,"lower",1000,"percent","","simulation","combat","ComBat","SPLIT09","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.127649520286793,"lower",5000,"proportion","","simulation","combat","ComBat","SPLIT09","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",11.4276822449681,"lower",1000,"percent","","simulation","qc_rlsc","QC-RLSC","SPLIT09","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.0514395371263374,"lower",5000,"proportion","","simulation","qc_rlsc","QC-RLSC","SPLIT09","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",24.22228516792,"lower",1000,"percent","","simulation","qc_rfsc","QC-RFSC","SPLIT09","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.113382275751573,"lower",5000,"proportion","","simulation","qc_rfsc","QC-RFSC","SPLIT09","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",9.94911449922007,"lower",1000,"percent","","simulation","tiger","TIGER","SPLIT09","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.0836760992214896,"lower",5000,"proportion","","simulation","tiger","TIGER","SPLIT09","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",13.2334378075253,"lower",1000,"percent","","simulation","serrf","SERRF","SPLIT09","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.0981162330554805,"lower",5000,"proportion","","simulation","serrf","SERRF","SPLIT09","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",8.95904681866543,"lower",1000,"percent","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT09","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.0190436847459098,"lower",5000,"proportion","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT09","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",18.572684105146,"lower",1000,"percent","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT09","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.138872058517562,"lower",5000,"proportion","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT09","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",8.95348529178038,"lower",1000,"percent","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT09","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.020259360410254,"lower",5000,"proportion","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT09","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",44.8060422614796,"lower",1000,"percent","","simulation","raw","Raw","SPLIT10","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.12764961730634,"lower",5000,"proportion","","simulation","raw","Raw","SPLIT10","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",12.5720131199869,"lower",1000,"percent","","simulation","combat","ComBat","SPLIT10","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.127649520286793,"lower",5000,"proportion","","simulation","combat","ComBat","SPLIT10","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",10.6602207802332,"lower",1000,"percent","","simulation","qc_rlsc","QC-RLSC","SPLIT10","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.0499888553994926,"lower",5000,"proportion","","simulation","qc_rlsc","QC-RLSC","SPLIT10","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",14.1925925284942,"lower",1000,"percent","","simulation","qc_rfsc","QC-RFSC","SPLIT10","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.137531927052765,"lower",5000,"proportion","","simulation","qc_rfsc","QC-RFSC","SPLIT10","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",9.38794504087008,"lower",1000,"percent","","simulation","tiger","TIGER","SPLIT10","Simulation","Held-out QC CV (%)"
