"metric","value","direction","denominator","units","notes","dataset_key","method_id","method","seed_id","metric_label"
"truth_sample_profile_pearson_mean",0.919320721321823,"higher",450,"correlation","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SIM02","Truth sample Pearson"
"heldout_qc_cv_mean",45.3978250493888,"lower",1000,"percent","","simulation","raw","Raw","SIM03","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.127101627479104,"lower",5000,"proportion","","simulation","raw","Raw","SIM03","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.962280227771194,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","raw","Raw","SIM03","Batch weighted-PC R²"
"truth_metabolite_profile_icc_mean",0.589126836225825,"higher",1000,"ICC(A,1)","","simulation","raw","Raw","SIM03","Truth metabolite ICC"
"truth_sample_profile_pearson_mean",0.513319176839328,"higher",450,"correlation","","simulation","raw","Raw","SIM03","Truth sample Pearson"
"heldout_qc_cv_mean",13.0099848734501,"lower",1000,"percent","","simulation","combat","ComBat","SIM03","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.127101469265802,"lower",5000,"proportion","","simulation","combat","ComBat","SIM03","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.000122495485361499,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","combat","ComBat","SIM03","Batch weighted-PC R²"
"truth_metabolite_profile_icc_mean",0.878934543844973,"higher",1000,"ICC(A,1)","","simulation","combat","ComBat","SIM03","Truth metabolite ICC"
"truth_sample_profile_pearson_mean",0.877091043230342,"higher",450,"correlation","","simulation","combat","ComBat","SIM03","Truth sample Pearson"
"heldout_qc_cv_mean",10.8854662369357,"lower",1000,"percent","","simulation","qc_rlsc","QC-RLSC","SIM03","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.0519252821411731,"lower",5000,"proportion","","simulation","qc_rlsc","QC-RLSC","SIM03","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.000119785430971585,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","qc_rlsc","QC-RLSC","SIM03","Batch weighted-PC R²"
"truth_metabolite_profile_icc_mean",0.907704470695441,"higher",1000,"ICC(A,1)","","simulation","qc_rlsc","QC-RLSC","SIM03","Truth metabolite ICC"
"truth_sample_profile_pearson_mean",0.903876374562536,"higher",450,"correlation","","simulation","qc_rlsc","QC-RLSC","SIM03","Truth sample Pearson"
"heldout_qc_cv_mean",19.0850132446883,"lower",1000,"percent","","simulation","qc_rfsc","QC-RFSC","SIM03","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.104724087368954,"lower",5000,"proportion","","simulation","qc_rfsc","QC-RFSC","SIM03","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.13164922833928,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","qc_rfsc","QC-RFSC","SIM03","Batch weighted-PC R²"
"truth_metabolite_profile_icc_mean",0.706850122462393,"higher",1000,"ICC(A,1)","","simulation","qc_rfsc","QC-RFSC","SIM03","Truth metabolite ICC"
"truth_sample_profile_pearson_mean",0.660496559115649,"higher",450,"correlation","","simulation","qc_rfsc","QC-RFSC","SIM03","Truth sample Pearson"
"heldout_qc_cv_mean",9.59791108356221,"lower",1000,"percent","","simulation","tiger","TIGER","SIM03","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.0836438425797742,"lower",5000,"proportion","","simulation","tiger","TIGER","SIM03","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.0530585566018515,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","tiger","TIGER","SIM03","Batch weighted-PC R²"
"truth_metabolite_profile_icc_mean",0.872344618229197,"higher",1000,"ICC(A,1)","","simulation","tiger","TIGER","SIM03","Truth metabolite ICC"
"truth_sample_profile_pearson_mean",0.84338668335107,"higher",450,"correlation","","simulation","tiger","TIGER","SIM03","Truth sample Pearson"
"heldout_qc_cv_mean",13.0404393713486,"lower",1000,"percent","","simulation","serrf","SERRF","SIM03","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.0970790204480711,"lower",5000,"proportion","","simulation","serrf","SERRF","SIM03","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.00110050071585592,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","serrf","SERRF","SIM03","Batch weighted-PC R²"
"truth_metabolite_profile_icc_mean",0.888996141256717,"higher",1000,"ICC(A,1)","","simulation","serrf","SERRF","SIM03","Truth metabolite ICC"
"truth_sample_profile_pearson_mean",0.873326781093461,"higher",450,"correlation","","simulation","serrf","SERRF","SIM03","Truth sample Pearson"
