"array_index","scenario_id","pre_v2_job_id","pre_v2_attempt_status","pre_v2_scientifically_eligible","v2_retry_required","pre_v2_expected_raw_intensity_round10_sha256","pre_v2_expected_clean_intensity_round10_sha256","pre_v2_observed_raw_intensity_round10_sha256","pre_v2_observed_clean_intensity_round10_sha256","pre_v2_reference_raw_intensity_object_sha256","pre_v2_observed_raw_intensity_object_sha256","pre_v2_reference_clean_ground_truth_object_sha256","pre_v2_observed_clean_ground_truth_object_sha256","raw_intensity_max_abs_difference","raw_intensity_median_abs_difference","raw_intensity_nonzero_difference_cells","raw_intensity_cells_above_1e_minus_12","raw_log_with_biology_max_abs_difference","raw_log_round10_identical"
24,"CONF02_batch_0p75","8385353","completed_v1_scientifically_ineligible",FALSE,TRUE,"ae32ce896b74114949fdd4038b7fe789ffcb9545df897e980fc014de751633fa","fc8121d226b9e045c0ef191ad5e27bbaf4d37fe3269f822de4c4d5c3e3b4d851","","","0f084da1bd3336ffbd4d2762ddc5a5eb3e040a37c4be0cc6c5a11d8878a4903b","","cfc62cb8d0ab6ccf36dd4011f387dfe7c95097709e95ea71f3ee3e9ae5330864","",,,,,,
25,"CONF02_run_order_0p75","8385353","completed_v1_scientifically_ineligible",FALSE,TRUE,"655e7d4350a436772d4f79955c5d0821b0e20f6811e56afeaf57b0be1840c7af","6fef2e7d4b0499f5bdc02d27fe9ba1a1299521d03f090f44482b006cfa7fd7ed","","","1209808f6ad4c3973bbee20b907a853bb6f62d83b5203aa6d4afcaffcd31e705","","a618269812adb6a52adbbb07d591226ea9aaeda1b59f480bdc09f7148a0b6625","",,,,,,
26,"CONF02_joint_0p75","8385353","completed_v1_scientifically_ineligible",FALSE,TRUE,"62471995776001ad9a19bf42a214da1c5498dad4b9c7098ff0b7f823f1cbe742","ef0671b40cddff2e6bd345e996bf822ec59ff1493fb9da5a68bdb93d6d0c0f02","","","8c2e1d6619dca51d1286fafbb0967d6dfe6ee4d7ebd48a375f10c3fe7f37d4af","","8ef25f874edafb7fa6c44ad464abb87bef478df355ca32924ae2b4935f32da2e","",,,,,,
27,"CONF02_batch_0p90","8385353","completed_v1_scientifically_ineligible",FALSE,TRUE,"b9cf3ac910cfc178a3c4a61b158b7107bb7b5c629233a385fc830c34e3a210d5","e91e9a5aebdb263352d5ff3b922afbc85a1184c6b510f7ee28f19b713e78fec5","","","2ae22cb73cfe58916cd04705d0a12cf644361469bef3c0f52382f7d2eda31b06","","a7ab76510bb3847ef853a73dadc1162432a3847387047678c7b83fb0ee97c510","",,,,,,
28,"CONF02_run_order_0p90","8385353","completed_v1_scientifically_ineligible",FALSE,TRUE,"38637a6888c141c473381c1f356ded597204aa98ee407187d7a47569f3f1def5","91c7d9cd5883f99df988dd3d1ab09acc5e416a5ddec48e02189884637de0179c","","","5347df702feb61f29c16e1f9afc4ac5830e39fb25a24f8595d7b4438b20ed5f7","","debb691550b8607e012164f927ef4256517dc153c8bca792b0dda3aaef08a7c5","",,,,,,
29,"CONF02_joint_0p90","8385353","completed_v1_scientifically_ineligible",FALSE,TRUE,"8ab9e930936f8cdb5dccc427a6076a42f55b35d09600f245b44b02c9d8ed777d","f94df63f6a54d4a677ac11916660a85ef329c9bad434e6d8e276d41212afe613","","","2829de4976719530934dbd33784fde37730fd3aebf95822f844675ecb093586f","","4c43339e136fd62a875995d382004230898652443574b257d4f538f6ddf86150","",,,,,,
30,"CONF02_batch_1p00","8385353","completed_v1_scientifically_ineligible",FALSE,TRUE,"3869242eb0defe41bf644ed8bffd1157da17cc844f11b1bd33cb5d4bacf7a55b","fedaf2622e201c20dc2cdc4c2ee44d966d32e1b518695d3719b3296bda4c5da8","","","6873fcb7595fc88838be29c5edc5341fd996705f0a660b8b22eb2e7f40d3efe6","","cff8d47380e0fc87697503266db4c154566a5b5fe2e583873a61ca8aa7c85fc5","",,,,,,
31,"CONF02_run_order_1p00","8385353","completed_v1_scientifically_ineligible",FALSE,TRUE,"ba47f7f759de3a6b139b6798c9604eb6f8281cb45ddb84617444b60cb1126312","dfa4c5685073576e0870893986d05d157411fd2231af1e74518ce36916e23c11","","","12fa29a129210bfb7e6215be773bd601d3a7b37cd0ea6985510104561a9b3093","","3a38b094a76d65d8df08758f6e4cef31d2e6558701a9d94ee4423ee7dacca104","",,,,,,
32,"CONF02_joint_1p00","8385353","completed_v1_scientifically_ineligible",FALSE,TRUE,"3a94ec3bbd16b21eaf1a4b3c5733d974729912b42234f3903570fdb75474e999","47be605ba75ac63718a7c0851f31e10253dc6948c0b2fdc7958071f7157b970e","","","9ad1b342379faeb53abdb7db8bd38aaf42e99aaf6caa54fc35d7d18a12ef80ed","","82d677fd5b95591e447bd95363419b8635d9ef14ed95330079637de9772abb03","",,,,,,
33,"CONF03_none_0p00","8385353","failed_v1_intensity_round10_portability_gate",FALSE,TRUE,"52b4e33c21733791eeb2db8f49d75caebfc28d28a7cc4f5c305161ca1a2ad18f","8c43ea77bd96fd13531a20143d80ee569f69f3ab2c1ca33b4e1381e26deb0fb7","0c982504c0a5d613e725e928088210124195914311ed61db19c269c359bfb8ca","8c43ea77bd96fd13531a20143d80ee569f69f3ab2c1ca33b4e1381e26deb0fb7","04447052d09a23e9f8ed6eb0bdde3d7a73cc24a86340ad5ef6de584712753851","64d96f7efb42abb8e6802cfa54bbb600b7e8d5598eed3319d4870f85da191e2f","0eb6555f459a0271296653c814e915125556d1d541e4022fb5e2e48562b0fa72","885f6373160236d3810de7e5903100c0852bc486e519900942b5b291976143a4",3.5527136788005e-14,0,49116,0,8.88178419700125e-16,TRUE
