"dataset_key","dataset","metric","direction","G_SS","G_AS","G_SA","G_AA","selective_drift_benefit","selective_batch_benefit","fully_selective_benefit","contrast_definition"
"clinical_fiams","Clinical FIA-MS","residual_run_order_gam_mean_deviance","lower",0.0727686471322973,0.00520013836698004,0.0727630834493838,0.00519147469752825,-0.0675685087653173,-5.56368291350362e-06,-0.0675771724347691,"Positive values favor selective correction over the corresponding forced-correction condition."
"clinical_fiams","Clinical FIA-MS","residual_run_order_gam_sd_deviance","lower",0.0789910500858729,0.0136386634823728,0.0789912534496783,0.0136419946137286,-0.0653523866035001,2.03363805406642e-07,-0.0653490554721443,"Positive values favor selective correction over the corresponding forced-correction condition."
"clinical_fiams","Clinical FIA-MS","residual_ljung_box_proportion_significant","lower",0.0997490589711418,0.134331869510665,0.0995138017565872,0.13409661229611,0.0345828105395232,-0.000235257214554599,0.0343475533249682,"Positive values favor selective correction over the corresponding forced-correction condition."
"clinical_fiams","Clinical FIA-MS","batch_weighted_pc_r2_categorical","lower",0.00205430716992057,0.0010438538305947,0.00194397036013825,0.000995782155015914,-0.00101045333932587,-0.00011033680978232,-0.00105852501490466,"Positive values favor selective correction over the corresponding forced-correction condition."
"clinical_fiams","Clinical FIA-MS","retained_features","higher",1594,1594,1594,1594,0,0,0,"Positive values favor selective correction over the corresponding forced-correction condition."
"clinical_fiams","Clinical FIA-MS","retained_samples","higher",660,660,660,660,0,0,0,"Positive values favor selective correction over the corresponding forced-correction condition."
"clinical_fiams","Clinical FIA-MS","runtime_sec","lower",11.077,33.689,11.034,33.719,22.612,-0.0429999999999993,22.642,"Positive values favor selective correction over the corresponding forced-correction condition."
"clinical_fiams","Clinical FIA-MS","drift_profiles_corrected","descriptive",2297,12752,2297,12752,,,,"Positive values favor selective correction over the corresponding forced-correction condition."
"clinical_fiams","Clinical FIA-MS","drift_features_corrected","descriptive",1300,1594,1300,1594,,,,"Positive values favor selective correction over the corresponding forced-correction condition."
"clinical_fiams","Clinical FIA-MS","batch_features_corrected","descriptive",1506,1524,1594,1594,,,,"Positive values favor selective correction over the corresponding forced-correction condition."
"clinical_fiams","Clinical FIA-MS","biological_weighted_pc_r2","higher",0.799363081954994,0.779111279456564,0.799430938875156,0.779214232228572,0.0202518024984299,-6.78569201620904e-05,0.0201488497264219,"Positive values favor selective correction over the corresponding forced-correction condition."
"clinical_fiams","Clinical FIA-MS","feature_repeatability_ratio_median","higher",0.659272129860823,0.636970558682562,0.659676587204692,0.637410705558402,0.0223015711782609,-0.000404457343869069,0.021861424302421,"Positive values favor selective correction over the corresponding forced-correction condition."
"clinical_fiams","Clinical FIA-MS","sample_replicate_pearson_median","higher",0.990747863696587,0.990870682832852,0.990747147757201,0.990914257339101,-0.000122819136264996,7.15939385997899e-07,-0.000166393642514029,"Positive values favor selective correction over the corresponding forced-correction condition."
"clinical_fiams","Clinical FIA-MS","genuine_replicate_icc_median","higher",0.989834812702034,0.98993063118193,0.989869506591472,0.98992385975622,-9.58184798960371e-05,-3.46938894379978e-05,-8.90470541859978e-05,"Positive values favor selective correction over the corresponding forced-correction condition."
"batchcorr_set1","BatchCorr Set 1","heldout_qc_cv_mean","lower",26.6652760811313,28.4664171686162,26.7656305295088,28.5016433990488,1.8011410874849,0.100354448377502,1.8363673179175,"Positive values favor selective correction over the corresponding forced-correction condition."
"batchcorr_set1","BatchCorr Set 1","heldout_qc_cv_sd","lower",16.1017669031863,15.5588669924787,16.1415114714907,15.5870816657865,-0.542899910707598,0.0397445683043998,-0.514685237399799,"Positive values favor selective correction over the corresponding forced-correction condition."
"batchcorr_set1","BatchCorr Set 1","heldout_qc_cv_median","lower",21.6389016588586,24.4433577471299,21.6837490986621,24.4426790675521,2.8044560882713,0.044847439803501,2.8037774086935,"Positive values favor selective correction over the corresponding forced-correction condition."
"batchcorr_set1","BatchCorr Set 1","residual_run_order_gam_mean_deviance","lower",0.043772965202549,0.000826500461473387,0.043732849175648,0.00082464809783633,-0.0429464647410756,-4.0116026901002e-05,-0.0429483171047127,"Positive values favor selective correction over the corresponding forced-correction condition."
"batchcorr_set1","BatchCorr Set 1","residual_run_order_gam_sd_deviance","lower",0.0555122121880683,0.00160521216270995,0.055466943974921,0.00160510618679957,-0.0539070000253584,-4.52682131472995e-05,-0.0539071060012687,"Positive values favor selective correction over the corresponding forced-correction condition."
"batchcorr_set1","BatchCorr Set 1","residual_ljung_box_proportion_significant","lower",0.0085427135678392,0.0226130653266332,0.00904522613065327,0.0226130653266332,0.014070351758794,0.00050251256281407,0.014070351758794,"Positive values favor selective correction over the corresponding forced-correction condition."
"batchcorr_set1","BatchCorr Set 1","batch_weighted_pc_r2_categorical","lower",0.000567147968917397,0.000779443758318777,0.00050452677871665,0.000726388982066674,0.00021229578940138,-6.2621190200747e-05,0.000159241013149277,"Positive values favor selective correction over the corresponding forced-correction condition."
"batchcorr_set1","BatchCorr Set 1","retained_features","higher",199,199,199,199,0,0,0,"Positive values favor selective correction over the corresponding forced-correction condition."
"batchcorr_set1","BatchCorr Set 1","retained_samples","higher",761,761,761,761,0,0,0,"Positive values favor selective correction over the corresponding forced-correction condition."
"batchcorr_set1","BatchCorr Set 1","runtime_sec","lower",1.787,5.123,1.731,5.125,3.336,-0.0559999999999998,3.338,"Positive values favor selective correction over the corresponding forced-correction condition."
"batchcorr_set1","BatchCorr Set 1","drift_profiles_corrected","descriptive",373,1990,373,1990,,,,"Positive values favor selective correction over the corresponding forced-correction condition."
