"metric","value","direction","denominator","units","notes","dataset_key","method_id","method","seed_id"
"residual_ljung_box_proportion_significant",0.231,"lower",5000,"proportion","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SIM01"
"batch_weighted_pc_r2_categorical",0.190350299562417,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SIM01"
"retained_features",1000,"higher",1000,"features","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SIM01"
"retained_samples",500,"higher",500,"samples","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SIM01"
"runtime_sec",21.22,"lower",1,"seconds","measured method execution in frozen release","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SIM01"
"drift_profiles_corrected",1647,"descriptive",5000,"profiles","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SIM01"
"drift_features_corrected",884,"descriptive",1000,"features","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SIM01"
"batch_features_corrected",703,"descriptive",1000,"features","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SIM01"
"truth_metabolite_profile_icc_mean",0.858213013478024,"higher",1000,"ICC(A,1)","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SIM01"
"truth_sample_profile_pearson_mean",0.868555221284607,"higher",450,"correlation","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SIM01"
"truth_log1p_rmse",0.102737640679052,"lower",450000,"log1p intensity","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SIM01"
"heldout_qc_cv_mean",8.76629278513728,"lower",1000,"percent","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SIM01"
"heldout_qc_cv_sd",6.24541161559367,"lower",1000,"percent","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SIM01"
"heldout_qc_cv_median",7.76573226958891,"lower",1000,"percent","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SIM01"
"residual_run_order_gam_mean_deviance",0.020259360410254,"lower",5000,"proportion","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SIM01"
"residual_run_order_gam_sd_deviance",0.033790592433155,"lower",5000,"proportion","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SIM01"
"residual_ljung_box_proportion_significant",0.0078,"lower",5000,"proportion","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SIM01"
"batch_weighted_pc_r2_categorical",0.000984578035653711,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SIM01"
"retained_features",1000,"higher",1000,"features","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SIM01"
"retained_samples",500,"higher",500,"samples","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SIM01"
"runtime_sec",7.013,"lower",1,"seconds","measured method execution in frozen release","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SIM01"
"drift_profiles_corrected",1440,"descriptive",5000,"profiles","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SIM01"
"drift_features_corrected",655,"descriptive",1000,"features","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SIM01"
"batch_features_corrected",725,"descriptive",1000,"features","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SIM01"
"truth_metabolite_profile_icc_mean",0.922101988056287,"higher",1000,"ICC(A,1)","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SIM01"
"truth_sample_profile_pearson_mean",0.925722367961271,"higher",450,"correlation","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SIM01"
"truth_log1p_rmse",0.0717656363030658,"lower",450000,"log1p intensity","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SIM01"
"heldout_qc_cv_mean",46.0458554803273,"lower",1000,"percent","","simulation","raw","Raw","SIM02"
"heldout_qc_cv_sd",32.1132176274835,"lower",1000,"percent","","simulation","raw","Raw","SIM02"
"heldout_qc_cv_median",43.7952787488203,"lower",1000,"percent","","simulation","raw","Raw","SIM02"
"residual_run_order_gam_mean_deviance",0.126608992121227,"lower",5000,"proportion","","simulation","raw","Raw","SIM02"
"residual_run_order_gam_sd_deviance",0.193054687378834,"lower",5000,"proportion","","simulation","raw","Raw","SIM02"
"residual_ljung_box_proportion_significant",0.2532,"lower",5000,"proportion","","simulation","raw","Raw","SIM02"
"batch_weighted_pc_r2_categorical",0.963599564642599,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","raw","Raw","SIM02"
"retained_features",1000,"higher",1000,"features","","simulation","raw","Raw","SIM02"
"retained_samples",500,"higher",500,"samples","","simulation","raw","Raw","SIM02"
"runtime_sec",0,"lower",1,"seconds","no correction","simulation","raw","Raw","SIM02"
"drift_profiles_corrected",,"descriptive",5000,"profiles","","simulation","raw","Raw","SIM02"
"drift_features_corrected",,"descriptive",1000,"features","","simulation","raw","Raw","SIM02"
"batch_features_corrected",,"descriptive",1000,"features","","simulation","raw","Raw","SIM02"
"truth_metabolite_profile_icc_mean",0.577019055009956,"higher",1000,"ICC(A,1)","","simulation","raw","Raw","SIM02"
"truth_sample_profile_pearson_mean",0.510193725862697,"higher",450,"correlation","","simulation","raw","Raw","SIM02"
"truth_log1p_rmse",0.299586966363763,"lower",450000,"log1p intensity","","simulation","raw","Raw","SIM02"
"heldout_qc_cv_mean",12.8587769260744,"lower",1000,"percent","","simulation","combat","ComBat","SIM02"
"heldout_qc_cv_sd",10.3892617850308,"lower",1000,"percent","","simulation","combat","ComBat","SIM02"
"heldout_qc_cv_median",10.7162006780421,"lower",1000,"percent","","simulation","combat","ComBat","SIM02"
"residual_run_order_gam_mean_deviance",0.126608734434934,"lower",5000,"proportion","","simulation","combat","ComBat","SIM02"
"residual_run_order_gam_sd_deviance",0.193054839487326,"lower",5000,"proportion","","simulation","combat","ComBat","SIM02"
"residual_ljung_box_proportion_significant",0.2532,"lower",5000,"proportion","","simulation","combat","ComBat","SIM02"
"batch_weighted_pc_r2_categorical",0.000114063053212148,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","combat","ComBat","SIM02"
"retained_features",1000,"higher",1000,"features","","simulation","combat","ComBat","SIM02"
"retained_samples",500,"higher",500,"samples","","simulation","combat","ComBat","SIM02"
