"dataset_key","dataset","method_id","method","metric","value","direction","denominator","units"
"mtbls79","MTBLS79","G_SA","selective/all","retained_samples",172,"higher",172,"samples"
"mtbls79","MTBLS79","G_SA","selective/all","runtime_sec",7.19299999999999,"lower",1,"seconds"
"mtbls79","MTBLS79","G_SA","selective/all","drift_profiles_corrected",52,"descriptive",19904,"profiles"
"mtbls79","MTBLS79","G_SA","selective/all","drift_features_corrected",40,"descriptive",2488,"features"
"mtbls79","MTBLS79","G_SA","selective/all","batch_features_corrected",2488,"descriptive",2488,"features"
"mtbls79","MTBLS79","G_SA","selective/all","biological_weighted_pc_r2",0.471170085143598,"higher",134,"weighted R-squared"
"mtbls79","MTBLS79","G_SA","selective/all","metabolite_icc_a1_median",0.681807145737552,"higher",2488,"ICC(A,1)"
"mtbls79","MTBLS79","G_SA","selective/all","sample_replicate_pearson_median",0.976760590417258,"higher",20,"correlation"
"mtbls79","MTBLS79","G_SA","selective/all","biological_associated_features",1015,"context",2488,"features"
"mtbls79","MTBLS79","G_AA","all/all","heldout_qc_cv_mean",19.3110113171568,"lower",2488,"percent"
"mtbls79","MTBLS79","G_AA","all/all","heldout_qc_cv_sd",9.94970090443233,"lower",2488,"percent"
"mtbls79","MTBLS79","G_AA","all/all","heldout_qc_cv_median",17.2530110911805,"lower",2488,"percent"
"mtbls79","MTBLS79","G_AA","all/all","residual_run_order_gam_mean_deviance",0.0213675974302673,"lower",19904,"proportion"
"mtbls79","MTBLS79","G_AA","all/all","residual_run_order_gam_sd_deviance",0.0459064374124867,"lower",19904,"proportion"
"mtbls79","MTBLS79","G_AA","all/all","residual_ljung_box_proportion_significant",0.0791800643086817,"lower",19904,"proportion"
"mtbls79","MTBLS79","G_AA","all/all","batch_weighted_pc_r2_categorical",0.00571273868069983,"lower",134,"weighted R-squared"
"mtbls79","MTBLS79","G_AA","all/all","retained_features",2488,"higher",2488,"features"
"mtbls79","MTBLS79","G_AA","all/all","retained_samples",172,"higher",172,"samples"
"mtbls79","MTBLS79","G_AA","all/all","runtime_sec",49.407,"lower",1,"seconds"
"mtbls79","MTBLS79","G_AA","all/all","drift_profiles_corrected",19904,"descriptive",19904,"profiles"
"mtbls79","MTBLS79","G_AA","all/all","drift_features_corrected",2488,"descriptive",2488,"features"
"mtbls79","MTBLS79","G_AA","all/all","batch_features_corrected",2488,"descriptive",2488,"features"
"mtbls79","MTBLS79","G_AA","all/all","biological_weighted_pc_r2",0.459294623758875,"higher",134,"weighted R-squared"
"mtbls79","MTBLS79","G_AA","all/all","metabolite_icc_a1_median",0.641333529494254,"higher",2488,"ICC(A,1)"
"mtbls79","MTBLS79","G_AA","all/all","sample_replicate_pearson_median",0.982157563732513,"higher",20,"correlation"
"mtbls79","MTBLS79","G_AA","all/all","biological_associated_features",1066,"context",2488,"features"
"clinical_fiams","Clinical FIA-MS","G_SS","selective/selective","heldout_qc_cv_mean",12.4044092100879,"lower",1594,"percent"
"clinical_fiams","Clinical FIA-MS","G_SS","selective/selective","heldout_qc_cv_sd",5.42898031411995,"lower",1594,"percent"
"clinical_fiams","Clinical FIA-MS","G_SS","selective/selective","heldout_qc_cv_median",11.0959804156287,"lower",1594,"percent"
"clinical_fiams","Clinical FIA-MS","G_SS","selective/selective","residual_run_order_gam_mean_deviance",0.0727686471322973,"lower",12752,"proportion"
"clinical_fiams","Clinical FIA-MS","G_SS","selective/selective","residual_run_order_gam_sd_deviance",0.0789910500858729,"lower",12752,"proportion"
"clinical_fiams","Clinical FIA-MS","G_SS","selective/selective","residual_ljung_box_proportion_significant",0.0997490589711418,"lower",12752,"proportion"
"clinical_fiams","Clinical FIA-MS","G_SS","selective/selective","batch_weighted_pc_r2_categorical",0.00205430716992057,"lower",536,"weighted R-squared"
