"analysis_family","task_id","dataset_key","seed_id","method_id","method","reuse_decision","execution_runtime_sec","reported_method_runtime_sec","runtime_provenance"
"simulation_seed","SIM_039","simulation","SIM05","qc_rlsc","QC-RLSC","reuse_exact",0.045,,"not remeasured; cache retrieval time excluded"
"simulation_seed","SIM_040","simulation","SIM05","qc_rfsc","QC-RFSC","reuse_exact",0.05,,"not remeasured; cache retrieval time excluded"
"simulation_seed","SIM_041","simulation","SIM05","tiger","TIGER","rerun_required",1727.267,1727.267,"measured method execution in frozen release"
"simulation_seed","SIM_042","simulation","SIM05","serrf","SERRF","reuse_exact",0.041,,"not remeasured; cache retrieval time excluded"
"simulation_seed","SIM_043","simulation","SIM05","winn_auto_qc","WiNN auto (QC)","rerun_required",17.542,17.542,"measured method execution in frozen release"
"simulation_seed","SIM_044","simulation","SIM05","winn_auto_batch_qc","WiNN auto-batch (QC)","rerun_required",25.677,25.677,"measured method execution in frozen release"
"simulation_seed","SIM_045","simulation","SIM05","winn_fixed_no_qc","WiNN fixed default (no QC)","rerun_required",7.437,7.437,"measured method execution in frozen release"
"simulation_seed","SIM_046","simulation","SIM06","raw","Raw","reuse_exact",0.052,0,"no correction"
"simulation_seed","SIM_047","simulation","SIM06","combat","ComBat","reuse_exact",0.059,,"not remeasured; cache retrieval time excluded"
"simulation_seed","SIM_048","simulation","SIM06","qc_rlsc","QC-RLSC","reuse_exact",0.053,,"not remeasured; cache retrieval time excluded"
"simulation_seed","SIM_049","simulation","SIM06","qc_rfsc","QC-RFSC","reuse_exact",0.06,,"not remeasured; cache retrieval time excluded"
"simulation_seed","SIM_050","simulation","SIM06","tiger","TIGER","rerun_required",1726.931,1726.931,"measured method execution in frozen release"
"simulation_seed","SIM_051","simulation","SIM06","serrf","SERRF","reuse_exact",0.049,,"not remeasured; cache retrieval time excluded"
"simulation_seed","SIM_052","simulation","SIM06","winn_auto_qc","WiNN auto (QC)","rerun_required",18.448,18.448,"measured method execution in frozen release"
"simulation_seed","SIM_053","simulation","SIM06","winn_auto_batch_qc","WiNN auto-batch (QC)","rerun_required",18.291,18.291,"measured method execution in frozen release"
"simulation_seed","SIM_054","simulation","SIM06","winn_fixed_no_qc","WiNN fixed default (no QC)","rerun_required",7.502,7.502,"measured method execution in frozen release"
"simulation_seed","SIM_055","simulation","SIM07","raw","Raw","reuse_exact",0.078,0,"no correction"
"simulation_seed","SIM_056","simulation","SIM07","combat","ComBat","reuse_exact",0.058,,"not remeasured; cache retrieval time excluded"
"simulation_seed","SIM_057","simulation","SIM07","qc_rlsc","QC-RLSC","reuse_exact",0.038,,"not remeasured; cache retrieval time excluded"
"simulation_seed","SIM_058","simulation","SIM07","qc_rfsc","QC-RFSC","reuse_exact",0.049,,"not remeasured; cache retrieval time excluded"
"simulation_seed","SIM_059","simulation","SIM07","tiger","TIGER","rerun_required",1938.948,1938.948,"measured method execution in frozen release"
"simulation_seed","SIM_060","simulation","SIM07","serrf","SERRF","reuse_exact",0.039,,"not remeasured; cache retrieval time excluded"
"simulation_seed","SIM_061","simulation","SIM07","winn_auto_qc","WiNN auto (QC)","rerun_required",30.044,30.044,"measured method execution in frozen release"
"simulation_seed","SIM_062","simulation","SIM07","winn_auto_batch_qc","WiNN auto-batch (QC)","rerun_required",19.633,19.633,"measured method execution in frozen release"
"simulation_seed","SIM_063","simulation","SIM07","winn_fixed_no_qc","WiNN fixed default (no QC)","rerun_required",6.663,6.663,"measured method execution in frozen release"
"simulation_seed","SIM_064","simulation","SIM08","raw","Raw","reuse_exact",0.045,0,"no correction"
"simulation_seed","SIM_065","simulation","SIM08","combat","ComBat","reuse_exact",0.045,,"not remeasured; cache retrieval time excluded"
"simulation_seed","SIM_066","simulation","SIM08","qc_rlsc","QC-RLSC","reuse_exact",0.051,,"not remeasured; cache retrieval time excluded"
"simulation_seed","SIM_067","simulation","SIM08","qc_rfsc","QC-RFSC","reuse_exact",0.041,,"not remeasured; cache retrieval time excluded"
"simulation_seed","SIM_068","simulation","SIM08","tiger","TIGER","rerun_required",1690.505,1690.505,"measured method execution in frozen release"
"simulation_seed","SIM_069","simulation","SIM08","serrf","SERRF","reuse_exact",0.052,,"not remeasured; cache retrieval time excluded"
"simulation_seed","SIM_070","simulation","SIM08","winn_auto_qc","WiNN auto (QC)","rerun_required",17.77,17.77,"measured method execution in frozen release"
"simulation_seed","SIM_071","simulation","SIM08","winn_auto_batch_qc","WiNN auto-batch (QC)","rerun_required",17.655,17.655,"measured method execution in frozen release"
"simulation_seed","SIM_072","simulation","SIM08","winn_fixed_no_qc","WiNN fixed default (no QC)","rerun_required",7.16,7.16,"measured method execution in frozen release"
"simulation_seed","SIM_073","simulation","SIM09","raw","Raw","reuse_exact",0.043,0,"no correction"
"simulation_seed","SIM_074","simulation","SIM09","combat","ComBat","reuse_exact",0.044,,"not remeasured; cache retrieval time excluded"
"simulation_seed","SIM_075","simulation","SIM09","qc_rlsc","QC-RLSC","reuse_exact",0.038,,"not remeasured; cache retrieval time excluded"
"simulation_seed","SIM_076","simulation","SIM09","qc_rfsc","QC-RFSC","reuse_exact",0.043,,"not remeasured; cache retrieval time excluded"
"simulation_seed","SIM_077","simulation","SIM09","tiger","TIGER","rerun_required",1610.328,1610.328,"measured method execution in frozen release"
"simulation_seed","SIM_078","simulation","SIM09","serrf","SERRF","reuse_exact",0.041,,"not remeasured; cache retrieval time excluded"
"simulation_seed","SIM_079","simulation","SIM09","winn_auto_qc","WiNN auto (QC)","rerun_required",20.815,20.815,"measured method execution in frozen release"
"simulation_seed","SIM_080","simulation","SIM09","winn_auto_batch_qc","WiNN auto-batch (QC)","rerun_required",19.447,19.447,"measured method execution in frozen release"
"simulation_seed","SIM_081","simulation","SIM09","winn_fixed_no_qc","WiNN fixed default (no QC)","rerun_required",6.837,6.837,"measured method execution in frozen release"
"simulation_seed","SIM_082","simulation","SIM10","raw","Raw","reuse_exact",0.041,0,"no correction"
"simulation_seed","SIM_083","simulation","SIM10","combat","ComBat","reuse_exact",0.047,,"not remeasured; cache retrieval time excluded"
"simulation_seed","SIM_084","simulation","SIM10","qc_rlsc","QC-RLSC","reuse_exact",0.053,,"not remeasured; cache retrieval time excluded"
"simulation_seed","SIM_085","simulation","SIM10","qc_rfsc","QC-RFSC","reuse_exact",0.048,,"not remeasured; cache retrieval time excluded"
"simulation_seed","SIM_086","simulation","SIM10","tiger","TIGER","rerun_required",1625.305,1625.305,"measured method execution in frozen release"
"simulation_seed","SIM_087","simulation","SIM10","serrf","SERRF","reuse_exact",0.046,,"not remeasured; cache retrieval time excluded"
"simulation_seed","SIM_088","simulation","SIM10","winn_auto_qc","WiNN auto (QC)","rerun_required",16.945,16.945,"measured method execution in frozen release"
"simulation_seed","SIM_089","simulation","SIM10","winn_auto_batch_qc","WiNN auto-batch (QC)","rerun_required",18.357,18.357,"measured method execution in frozen release"
"simulation_seed","SIM_090","simulation","SIM10","winn_fixed_no_qc","WiNN fixed default (no QC)","rerun_required",6.45,6.45,"measured method execution in frozen release"
