"task_id","dataset_key","method_id","method","reuse_decision","seed","execution_runtime_sec","reported_method_runtime_sec","runtime_provenance","wall_sec","n_features","n_samples","warning_lines","error_lines","input_object_sha256","output_object_sha256","matrix_file_sha256","conditions_log_sha256","package_version","package_source_sha256","started_at","completed_at"
"PRIMARY_021","clinical_fiams","qc_rlsc","QC-RLSC","rerun_required",2026072621,11.498,11.498,"measured method execution in frozen release",15.6405,1594,660,0,0,"38d77f7fe5f065af7f6b3188c1e5d6f00998327ebba349075e83a226865211cd","fdf3b11936c2355a02d4ffd7cdcc3ef54a0487afd885c6a97a3360cf9b77da64","1b53c010c71b31e175d5f7e576ba261c815892521714bc70d43c97c424a9c092","22be6b55ac2a38b538dc238cdf39e95cd512c93c96921583baf74c76ce3a09fc","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:55:58+0200","2026-07-26T01:56:14+0200"
"PRIMARY_022","clinical_fiams","qc_rfsc","QC-RFSC","rerun_required",2026072622,76.616,76.616,"measured method execution in frozen release",80.3887,1594,660,0,0,"38d77f7fe5f065af7f6b3188c1e5d6f00998327ebba349075e83a226865211cd","e23ff5e6a22ac3f35be4f8229065d8837f01e68ed7e0dc512091e2d77beac75e","77855b41a5e9bb77b17cc3fabf9b304bcdeb290c1c3163e2d3a891466b1b91fb","22be6b55ac2a38b538dc238cdf39e95cd512c93c96921583baf74c76ce3a09fc","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:55:58+0200","2026-07-26T01:57:19+0200"
"PRIMARY_023","clinical_fiams","tiger","TIGER","rerun_required",2026072623,6002.527,6002.527,"measured method execution in frozen release",6006.0418,1594,660,0,0,"38d77f7fe5f065af7f6b3188c1e5d6f00998327ebba349075e83a226865211cd","276cc168723502c38ee356976b48a3045934f7036f9a4fb17a730afc96dd841d","aebc8b6b3bb4282ceaf382905c7ec4b316c9a3a440c3e6d955e88f21cb2e2d13","22be6b55ac2a38b538dc238cdf39e95cd512c93c96921583baf74c76ce3a09fc","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:56:00+0200","2026-07-26T03:36:06+0200"
"PRIMARY_024","clinical_fiams","serrf","SERRF","rerun_required",2026072624,953.103,953.103,"measured method execution in frozen release",956.9056,1594,660,0,0,"38d77f7fe5f065af7f6b3188c1e5d6f00998327ebba349075e83a226865211cd","6c7710d47bb59f8e79cd0e38f87c53e20a5085ee665435f868a901c7fe4b9094","9cac3a02b3a3a61cfa1088e96c8573690d8904dd93f1bc0140e9753483333af9","22be6b55ac2a38b538dc238cdf39e95cd512c93c96921583baf74c76ce3a09fc","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:55:58+0200","2026-07-26T02:11:55+0200"
"PRIMARY_025","clinical_fiams","winn_auto_qc","WiNN auto (QC)","rerun_required",2026072625,28.834,28.834,"measured method execution in frozen release",32.7264,1594,660,0,0,"38d77f7fe5f065af7f6b3188c1e5d6f00998327ebba349075e83a226865211cd","fc693eb0a341500ce970c36e0d6d7ad5447b8a33b54768cee0608d53d2824279","6cf61e0f0c512acc2080f3dd08ae39ae3e0b32d41d232f34c78effc82812f40b","7cc9a71118a6a31e1ffd7f248e1f90fd689468cd6a4eaf97766d90cf44ed677b","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:55:58+0200","2026-07-26T01:56:31+0200"
"PRIMARY_026","clinical_fiams","winn_auto_batch_qc","WiNN auto-batch (QC)","rerun_required",2026072626,32.663,32.663,"measured method execution in frozen release",36.5,1594,660,0,0,"38d77f7fe5f065af7f6b3188c1e5d6f00998327ebba349075e83a226865211cd","2ca2339cbcd5714840edb16b606643faf317c1ee4e935ed1f26fa920c344121d","d08cde86aed27b6d656dcadf0cbcb78b95451c7c8b2e35808cacb6051cf0143a","2b716c5968ec14c8c2648e31b6f4fc6cb9c44b4a0ce3d5af4a0b272f0ce0a899","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:55:58+0200","2026-07-26T01:56:35+0200"
"PRIMARY_027","clinical_fiams","winn_fixed_no_qc","WiNN fixed default (no QC)","rerun_required",2026072627,10.922,10.922,"measured method execution in frozen release",14.2235,1594,660,0,0,"38d77f7fe5f065af7f6b3188c1e5d6f00998327ebba349075e83a226865211cd","fbfe1fe5bc13b221323e5a0666ea0eb0809f6fe963f4a2e28239dcfcbff0bf9f","679ec21fe6f6a1167b77e49f002f2714dad3b3db84a20b8c383b694b8ba6ff6e","4bc016d34411e1ed63b9d8b12740f0d0b286aea0cb5cf9d9098f414aea2d72e9","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:56:00+0200","2026-07-26T01:56:14+0200"
"PRIMARY_028","batchcorr_set1","raw","Raw","reuse_exact",2026072628,0.128,0,"no correction",0.9331,199,761,0,0,"0ce473b2f1b9db0345f2e9235ac86e028235fc01d52506d2fe159616fbb8b09d","805895f3f8824a78339b56671a551ac7412480b664e3dbe08c86328ca1b28425","44174d9bcc30a2b39f86107fd4a722555e3713f458b439cf6274e2c1800040e8","22be6b55ac2a38b538dc238cdf39e95cd512c93c96921583baf74c76ce3a09fc","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:57:29+0200","2026-07-26T01:57:30+0200"
"PRIMARY_029","batchcorr_set1","combat","ComBat","reuse_exact",2026072629,0.135,,"not remeasured; cache retrieval time excluded",1.0781,199,761,0,0,"0ce473b2f1b9db0345f2e9235ac86e028235fc01d52506d2fe159616fbb8b09d","5072b7cd8d984fe7a473b860ed7c027214745e74627e9d6ba331e901f373da11","bfe6d4a0e13b95bc05c41532d250fb764df9739a22147e58c295d3fca9af14e5","22be6b55ac2a38b538dc238cdf39e95cd512c93c96921583baf74c76ce3a09fc","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:57:28+0200","2026-07-26T01:57:29+0200"
"PRIMARY_030","batchcorr_set1","qc_rlsc","QC-RLSC","reuse_exact",2026072630,0.137,,"not remeasured; cache retrieval time excluded",1.0754,199,761,0,0,"0ce473b2f1b9db0345f2e9235ac86e028235fc01d52506d2fe159616fbb8b09d","5cda656ce83f1b259364006c58e79a125761c3e85dfd2ce800072249e9762539","c6cd0bde2c94baf770d39723dffe2533c50fef5afe396345de74b0a0eae870f2","22be6b55ac2a38b538dc238cdf39e95cd512c93c96921583baf74c76ce3a09fc","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:57:28+0200","2026-07-26T01:57:29+0200"
"PRIMARY_031","batchcorr_set1","qc_rfsc","QC-RFSC","rerun_required",2026072631,7.459,7.459,"measured method execution in frozen release",8.281,199,761,0,0,"0ce473b2f1b9db0345f2e9235ac86e028235fc01d52506d2fe159616fbb8b09d","df517d81e46d088e3795da74e69b98608237116872eb31ea9a6ccb9a533105da","1ec40ac7db0a339e290f48fd834635656298efc95c3151ef281428086daf5b78","22be6b55ac2a38b538dc238cdf39e95cd512c93c96921583baf74c76ce3a09fc","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:57:28+0200","2026-07-26T01:57:36+0200"
"PRIMARY_032","batchcorr_set1","tiger","TIGER","rerun_required",2026072632,399.01,399.01,"measured method execution in frozen release",399.8808,199,761,0,0,"0ce473b2f1b9db0345f2e9235ac86e028235fc01d52506d2fe159616fbb8b09d","c55114722b8651af01c7d3e3fba9916c383910a102e63943f3136e1e88208ed8","3e0b9f66cbcb4569377e71e44d141778cc8654883fbe5e17a2359ae22d4c0959","22be6b55ac2a38b538dc238cdf39e95cd512c93c96921583baf74c76ce3a09fc","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:56:01+0200","2026-07-26T02:02:41+0200"
"PRIMARY_033","batchcorr_set1","serrf","SERRF","rerun_required",2026072633,117.93,117.93,"measured method execution in frozen release",118.7623,199,761,0,0,"0ce473b2f1b9db0345f2e9235ac86e028235fc01d52506d2fe159616fbb8b09d","57d84e22e73b9e57713dee0b848f9bb924c1257776b7961adfa118a89f934945","4256d0e3a0afa243a807d0eb5a927ea66840735324fc8f4da01c9330a4193bc7","22be6b55ac2a38b538dc238cdf39e95cd512c93c96921583baf74c76ce3a09fc","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:57:28+0200","2026-07-26T01:59:26+0200"
"PRIMARY_034","batchcorr_set1","winn_auto_qc","WiNN auto (QC)","rerun_required",2026072634,5.721,5.721,"measured method execution in frozen release",6.5911,199,761,0,0,"0ce473b2f1b9db0345f2e9235ac86e028235fc01d52506d2fe159616fbb8b09d","f246de88f8cc570b779df69f6a9c6600d6bf498df1c22608bf24712e1c032e4c","63610f8cc3bed57a7b5e34c79bb5ca7c2cccb7ea7729439af41d082556bf0cd7","828e74b832a972b1940aba3de3b64245643462a2690a2722b224e01a11c047e2","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:57:28+0200","2026-07-26T01:57:34+0200"
"PRIMARY_035","batchcorr_set1","winn_auto_batch_qc","WiNN auto-batch (QC)","rerun_required",2026072635,6.761,6.761,"measured method execution in frozen release",7.5205,199,761,0,0,"0ce473b2f1b9db0345f2e9235ac86e028235fc01d52506d2fe159616fbb8b09d","a075decaa68d37b69af1c2e57d4944f8c984af580f3b242c381ba9d5f9af4996","907dfd44c6eb11021ff304edab92447cf33ea2fbe3b9261314eb6f41803f3b2f","be69ed81c27b0bf16c378ea44c9595a9fefd708b8ce6ae3b9aca07a4339a727e","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:57:28+0200","2026-07-26T01:57:35+0200"
"PRIMARY_036","batchcorr_set1","winn_fixed_no_qc","WiNN fixed default (no QC)","rerun_required",2026072636,2.324,2.324,"measured method execution in frozen release",3.3763,199,761,0,0,"0ce473b2f1b9db0345f2e9235ac86e028235fc01d52506d2fe159616fbb8b09d","85b15ea87c4873e4b0caaa7a58aa2cbff800eb635c3dc53938f57f14c9c162f8","b777c257210a79a50eb0cb65dd9caef89f082693dd0d908a314377f7d1c091c6","4bc016d34411e1ed63b9d8b12740f0d0b286aea0cb5cf9d9098f414aea2d72e9","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:57:30+0200","2026-07-26T01:57:33+0200"
