"scenario_id","seed_id","method","metric","value","metric_direction","units","status","confounding_type","level"
"CONF01_none_0p00","CONF01","WiNN fixed default (no QC)","heldout_qc_cv_median",8.41150024441407,"lower","percent","calculated","none",0
"CONF01_none_0p00","CONF01","WiNN fixed default (no QC)","heldout_qc_cv_sd",6.14660717720059,"lower","percent","calculated","none",0
"CONF01_none_0p00","CONF01","WiNN fixed default (no QC)","batch_weighted_pc_r2_categorical",0.000457334213837863,"lower","weighted_R2","calculated","none",0
"CONF01_none_0p00","CONF01","WiNN fixed default (no QC)","phenotype_weighted_pc_r2_categorical",0.443486914961771,"descriptive","weighted_R2","calculated","none",0
"CONF01_none_0p00","CONF01","WiNN fixed default (no QC)","residual_ljung_box_profiles_tested",5000,"descriptive","count","calculated_full_feature_batch_profiles","none",0
"CONF01_none_0p00","CONF01","WiNN fixed default (no QC)","residual_ljung_box_profiles_significant",24,"lower","count","calculated_full_feature_batch_profiles","none",0
"CONF01_none_0p00","CONF01","WiNN fixed default (no QC)","residual_ljung_box_proportion_significant",0.0048,"lower","proportion","calculated_full_feature_batch_profiles","none",0
"CONF01_none_0p00","CONF01","WiNN fixed default (no QC)","residual_ljung_box_median_statistic",10.5271315013153,"lower","value","calculated_full_feature_batch_profiles","none",0
"CONF01_none_0p00","CONF01","WiNN fixed default (no QC)","residual_run_order_gam_mean_deviance",0.0211862804417983,"lower","value","calculated_full_feature_batch_profiles","none",0
"CONF01_none_0p00","CONF01","WiNN fixed default (no QC)","retained_features",1000,"higher","count","calculated","none",0
"CONF01_none_0p00","CONF01","WiNN fixed default (no QC)","retained_samples",500,"higher","count","calculated","none",0
"CONF01_none_0p00","CONF01","WiNN fixed default (no QC)","runtime_sec",7.772,"lower","seconds","calculated","none",0
"CONF02_none_0p00","CONF02","Raw","coefficient_pearson_vs_injected_all",0.95218146766251,"higher","correlation_or_proportion","calculated","none",0
"CONF02_none_0p00","CONF02","Raw","coefficient_spearman_vs_injected_all",0.520336689798318,"higher","correlation_or_proportion","calculated","none",0
"CONF02_none_0p00","CONF02","Raw","coefficient_pearson_vs_injected_responsive",0.994846161688232,"higher","correlation_or_proportion","calculated","none",0
"CONF02_none_0p00","CONF02","Raw","coefficient_pearson_vs_clean_all",0.992662213475163,"higher","correlation_or_proportion","calculated","none",0
"CONF02_none_0p00","CONF02","Raw","effect_rmse_vs_injected_all",0.058002174775973,"lower","log1p_effect_or_ratio","calculated","none",0
"CONF02_none_0p00","CONF02","Raw","effect_rmse_vs_injected_responsive",0.175480407137499,"lower","log1p_effect_or_ratio","calculated","none",0
"CONF02_none_0p00","CONF02","Raw","effect_rmse_vs_clean_all",0.00704796716521706,"lower","log1p_effect_or_ratio","calculated","none",0
"CONF02_none_0p00","CONF02","Raw","effect_rmse_vs_clean_responsive",0.00641179093604024,"lower","log1p_effect_or_ratio","calculated","none",0
"CONF02_none_0p00","CONF02","Raw","recovered_vs_injected_slope",0.501239729112832,"descriptive","log1p_effect_or_ratio","calculated","none",0
"CONF02_none_0p00","CONF02","Raw","recovered_vs_injected_intercept",0.000182788904364589,"descriptive","log1p_effect_or_ratio","calculated","none",0
"CONF02_none_0p00","CONF02","Raw","median_attenuation_ratio_injected_responsive",0.497048797987437,"higher","log1p_effect_or_ratio","calculated","none",0
"CONF02_none_0p00","CONF02","Raw","median_attenuation_ratio_clean_responsive",1,"higher","log1p_effect_or_ratio","calculated","none",0
"CONF02_none_0p00","CONF02","Raw","sign_concordance_responsive",1,"higher","correlation_or_proportion","calculated","none",0
"CONF02_none_0p00","CONF02","Raw","n_discoveries_bh_0p05",104,"descriptive","count","calculated","none",0
"CONF02_none_0p00","CONF02","Raw","true_positive_rate",1,"higher","proportion","calculated","none",0
"CONF02_none_0p00","CONF02","Raw","empirical_fdr",0.0384615384615385,"lower","proportion","calculated","none",0
"CONF02_none_0p00","CONF02","Raw","null_feature_false_positive_rate",0.00444444444444444,"lower","proportion","calculated","none",0
"CONF02_none_0p00","CONF02","Raw","clean_log1p_rmse_study",0.30449687489692,"lower","log1p_effect_or_ratio","calculated","none",0
"CONF02_none_0p00","CONF02","Raw","clean_sample_profile_pearson_mean",0.509215742137327,"higher","correlation_or_proportion","calculated","none",0
"CONF02_none_0p00","CONF02","Raw","clean_sample_profile_pearson_median",0.511630380177435,"higher","correlation_or_proportion","calculated","none",0
"CONF02_none_0p00","CONF02","Raw","clean_feature_profile_pearson_mean",0.649358604563308,"higher","correlation_or_proportion","calculated","none",0
"CONF02_none_0p00","CONF02","Raw","clean_feature_profile_pearson_median",0.618843512409034,"higher","correlation_or_proportion","calculated","none",0
"CONF02_none_0p00","CONF02","Raw","clean_feature_icc_a1_mean",0.585408159893288,"higher","value","calculated","none",0
"CONF02_none_0p00","CONF02","Raw","clean_feature_icc_a1_median",0.554521897175126,"higher","value","calculated","none",0
