"analysis_family","task_id","dataset_key","seed_id","split_id","method_id","method","output_dir","floor_applied","negative_values_floored","features_with_flooring","samples_with_flooring","minimum_before_floor","rule"
"simulation_seed","SIM_001","simulation","SIM01",,"raw","Raw","results/simulation_seeds/SIM01/raw",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_002","simulation","SIM01",,"combat","ComBat","results/simulation_seeds/SIM01/combat",TRUE,1,1,1,-0.0280105824579054,"Negative corrected intensities were floored at zero before evaluation."
"simulation_seed","SIM_003","simulation","SIM01",,"qc_rlsc","QC-RLSC","results/simulation_seeds/SIM01/qc_rlsc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_004","simulation","SIM01",,"qc_rfsc","QC-RFSC","results/simulation_seeds/SIM01/qc_rfsc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_005","simulation","SIM01",,"tiger","TIGER","results/simulation_seeds/SIM01/tiger",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_006","simulation","SIM01",,"serrf","SERRF","results/simulation_seeds/SIM01/serrf",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_007","simulation","SIM01",,"winn_auto_qc","WiNN auto (QC)","results/simulation_seeds/SIM01/winn_auto_qc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_008","simulation","SIM01",,"winn_auto_batch_qc","WiNN auto-batch (QC)","results/simulation_seeds/SIM01/winn_auto_batch_qc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_009","simulation","SIM01",,"winn_fixed_no_qc","WiNN fixed default (no QC)","results/simulation_seeds/SIM01/winn_fixed_no_qc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_010","simulation","SIM02",,"raw","Raw","results/simulation_seeds/SIM02/raw",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_011","simulation","SIM02",,"combat","ComBat","results/simulation_seeds/SIM02/combat",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_012","simulation","SIM02",,"qc_rlsc","QC-RLSC","results/simulation_seeds/SIM02/qc_rlsc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_013","simulation","SIM02",,"qc_rfsc","QC-RFSC","results/simulation_seeds/SIM02/qc_rfsc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_014","simulation","SIM02",,"tiger","TIGER","results/simulation_seeds/SIM02/tiger",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_015","simulation","SIM02",,"serrf","SERRF","results/simulation_seeds/SIM02/serrf",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_016","simulation","SIM02",,"winn_auto_qc","WiNN auto (QC)","results/simulation_seeds/SIM02/winn_auto_qc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_017","simulation","SIM02",,"winn_auto_batch_qc","WiNN auto-batch (QC)","results/simulation_seeds/SIM02/winn_auto_batch_qc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_018","simulation","SIM02",,"winn_fixed_no_qc","WiNN fixed default (no QC)","results/simulation_seeds/SIM02/winn_fixed_no_qc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_019","simulation","SIM03",,"raw","Raw","results/simulation_seeds/SIM03/raw",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_020","simulation","SIM03",,"combat","ComBat","results/simulation_seeds/SIM03/combat",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_021","simulation","SIM03",,"qc_rlsc","QC-RLSC","results/simulation_seeds/SIM03/qc_rlsc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_022","simulation","SIM03",,"qc_rfsc","QC-RFSC","results/simulation_seeds/SIM03/qc_rfsc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_023","simulation","SIM03",,"tiger","TIGER","results/simulation_seeds/SIM03/tiger",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_024","simulation","SIM03",,"serrf","SERRF","results/simulation_seeds/SIM03/serrf",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_025","simulation","SIM03",,"winn_auto_qc","WiNN auto (QC)","results/simulation_seeds/SIM03/winn_auto_qc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_026","simulation","SIM03",,"winn_auto_batch_qc","WiNN auto-batch (QC)","results/simulation_seeds/SIM03/winn_auto_batch_qc",FALSE,0,0,0,,"No negative corrected intensities."
