"metric","value","direction","denominator","units","notes","dataset_key","method_id","method","dataset"
"residual_run_order_gam_mean_deviance",0.0852308695427575,"lower",5000,"proportion","","simulation","tiger","TIGER","Simulation"
"residual_run_order_gam_sd_deviance",0.129574032865325,"lower",5000,"proportion","","simulation","tiger","TIGER","Simulation"
"retained_features",1000,"higher",1000,"features","","simulation","tiger","TIGER","Simulation"
"retained_samples",500,"higher",500,"samples","","simulation","tiger","TIGER","Simulation"
"runtime_sec",1617.199,"lower",1,"seconds","measured method execution in frozen release","simulation","tiger","TIGER","Simulation"
"truth_log1p_rmse",0.110947265883819,"lower",450000,"log1p intensity","","simulation","tiger","TIGER","Simulation"
"truth_metabolite_profile_icc_mean",0.87329948453022,"higher",1000,"ICC(A,1)","","simulation","tiger","TIGER","Simulation"
"truth_sample_profile_pearson_mean",0.856328096042775,"higher",450,"correlation","","simulation","tiger","TIGER","Simulation"
"batch_features_corrected",,"descriptive",1000,"features","","simulation","serrf","SERRF","Simulation"
"batch_weighted_pc_r2_categorical",0.000686301131247359,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","serrf","SERRF","Simulation"
"drift_features_corrected",,"descriptive",1000,"features","","simulation","serrf","SERRF","Simulation"
"drift_profiles_corrected",,"descriptive",5000,"profiles","","simulation","serrf","SERRF","Simulation"
"heldout_qc_cv_mean",12.495344300561,"lower",1000,"percent","","simulation","serrf","SERRF","Simulation"
"heldout_qc_cv_median",10.524897988776,"lower",1000,"percent","","simulation","serrf","SERRF","Simulation"
"heldout_qc_cv_sd",9.58874295720924,"lower",1000,"percent","","simulation","serrf","SERRF","Simulation"
"residual_ljung_box_proportion_significant",0.2006,"lower",5000,"proportion","","simulation","serrf","SERRF","Simulation"
"residual_run_order_gam_mean_deviance",0.0997710875953133,"lower",5000,"proportion","","simulation","serrf","SERRF","Simulation"
"residual_run_order_gam_sd_deviance",0.156531324905062,"lower",5000,"proportion","","simulation","serrf","SERRF","Simulation"
"retained_features",1000,"higher",1000,"features","","simulation","serrf","SERRF","Simulation"
"retained_samples",500,"higher",500,"samples","","simulation","serrf","SERRF","Simulation"
"runtime_sec",,"lower",1,"seconds","not remeasured; cache retrieval time excluded","simulation","serrf","SERRF","Simulation"
"truth_log1p_rmse",0.0953567821019156,"lower",450000,"log1p intensity","","simulation","serrf","SERRF","Simulation"
"truth_metabolite_profile_icc_mean",0.887607914457796,"higher",1000,"ICC(A,1)","","simulation","serrf","SERRF","Simulation"
"truth_sample_profile_pearson_mean",0.879622363348465,"higher",450,"correlation","","simulation","serrf","SERRF","Simulation"
"batch_features_corrected",721,"descriptive",1000,"features","","simulation","winn_auto_qc","WiNN auto (QC)","Simulation"
"batch_weighted_pc_r2_categorical",0.00100135976133962,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","winn_auto_qc","WiNN auto (QC)","Simulation"
"drift_features_corrected",696,"descriptive",1000,"features","","simulation","winn_auto_qc","WiNN auto (QC)","Simulation"
"drift_profiles_corrected",1566,"descriptive",5000,"profiles","","simulation","winn_auto_qc","WiNN auto (QC)","Simulation"
"heldout_qc_cv_mean",8.78288536211856,"lower",1000,"percent","","simulation","winn_auto_qc","WiNN auto (QC)","Simulation"
"heldout_qc_cv_median",7.73686643153703,"lower",1000,"percent","","simulation","winn_auto_qc","WiNN auto (QC)","Simulation"
"heldout_qc_cv_sd",6.25266545924884,"lower",1000,"percent","","simulation","winn_auto_qc","WiNN auto (QC)","Simulation"
"residual_ljung_box_proportion_significant",0.0086,"lower",5000,"proportion","","simulation","winn_auto_qc","WiNN auto (QC)","Simulation"
"residual_run_order_gam_mean_deviance",0.0190598805330619,"lower",5000,"proportion","","simulation","winn_auto_qc","WiNN auto (QC)","Simulation"
"residual_run_order_gam_sd_deviance",0.0319713597474127,"lower",5000,"proportion","","simulation","winn_auto_qc","WiNN auto (QC)","Simulation"
"retained_features",1000,"higher",1000,"features","","simulation","winn_auto_qc","WiNN auto (QC)","Simulation"
"retained_samples",500,"higher",500,"samples","","simulation","winn_auto_qc","WiNN auto (QC)","Simulation"
"runtime_sec",17.563,"lower",1,"seconds","measured method execution in frozen release","simulation","winn_auto_qc","WiNN auto (QC)","Simulation"
"truth_log1p_rmse",0.071593517780699,"lower",450000,"log1p intensity","","simulation","winn_auto_qc","WiNN auto (QC)","Simulation"
"truth_metabolite_profile_icc_mean",0.922321659529502,"higher",1000,"ICC(A,1)","","simulation","winn_auto_qc","WiNN auto (QC)","Simulation"
"truth_sample_profile_pearson_mean",0.925989767122605,"higher",450,"correlation","","simulation","winn_auto_qc","WiNN auto (QC)","Simulation"
"batch_features_corrected",703,"descriptive",1000,"features","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","Simulation"
"batch_weighted_pc_r2_categorical",0.190350299562417,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","Simulation"
"drift_features_corrected",884,"descriptive",1000,"features","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","Simulation"
"drift_profiles_corrected",1647,"descriptive",5000,"profiles","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","Simulation"
"heldout_qc_cv_mean",16.3142944058656,"lower",1000,"percent","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","Simulation"
"heldout_qc_cv_median",15.1128846355237,"lower",1000,"percent","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","Simulation"
"heldout_qc_cv_sd",10.6230798483238,"lower",1000,"percent","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","Simulation"
"residual_ljung_box_proportion_significant",0.231,"lower",5000,"proportion","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","Simulation"
"residual_run_order_gam_mean_deviance",0.138876443356538,"lower",5000,"proportion","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","Simulation"
"residual_run_order_gam_sd_deviance",0.17987673081442,"lower",5000,"proportion","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","Simulation"
"retained_features",1000,"higher",1000,"features","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","Simulation"
"retained_samples",500,"higher",500,"samples","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","Simulation"
"runtime_sec",21.503,"lower",1,"seconds","measured method execution in frozen release","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","Simulation"
"truth_log1p_rmse",0.102737640679052,"lower",450000,"log1p intensity","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","Simulation"
"truth_metabolite_profile_icc_mean",0.858213013478024,"higher",1000,"ICC(A,1)","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","Simulation"
"truth_sample_profile_pearson_mean",0.868555221284607,"higher",450,"correlation","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","Simulation"
"batch_features_corrected",725,"descriptive",1000,"features","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","Simulation"
"batch_weighted_pc_r2_categorical",0.000984578035653711,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","Simulation"
"drift_features_corrected",655,"descriptive",1000,"features","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","Simulation"
"drift_profiles_corrected",1440,"descriptive",5000,"profiles","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","Simulation"
"heldout_qc_cv_mean",8.76629278513728,"lower",1000,"percent","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","Simulation"
"heldout_qc_cv_median",7.76573226958891,"lower",1000,"percent","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","Simulation"
"heldout_qc_cv_sd",6.24541161559367,"lower",1000,"percent","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","Simulation"
"residual_ljung_box_proportion_significant",0.0078,"lower",5000,"proportion","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","Simulation"
"residual_run_order_gam_mean_deviance",0.020259360410254,"lower",5000,"proportion","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","Simulation"
"residual_run_order_gam_sd_deviance",0.033790592433155,"lower",5000,"proportion","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","Simulation"
"retained_features",1000,"higher",1000,"features","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","Simulation"
"retained_samples",500,"higher",500,"samples","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","Simulation"
"runtime_sec",7.758,"lower",1,"seconds","measured method execution in frozen release","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","Simulation"
"truth_log1p_rmse",0.0717656363030658,"lower",450000,"log1p intensity","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","Simulation"
"truth_metabolite_profile_icc_mean",0.922101988056287,"higher",1000,"ICC(A,1)","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","Simulation"
"truth_sample_profile_pearson_mean",0.925722367961271,"higher",450,"correlation","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","Simulation"
"batch_features_corrected",,"descriptive",2488,"features","","mtbls79","raw","Raw","MTBLS79"
"batch_weighted_pc_r2_categorical",0.36098533296055,"lower",134,"weighted R-squared","Batch is explicitly categorical.","mtbls79","raw","Raw","MTBLS79"
"biological_associated_features",990,"context",2488,"features","","mtbls79","raw","Raw","MTBLS79"
"biological_weighted_pc_r2",0.342783223437302,"higher",134,"weighted R-squared","","mtbls79","raw","Raw","MTBLS79"
"drift_features_corrected",,"descriptive",2488,"features","","mtbls79","raw","Raw","MTBLS79"
"drift_profiles_corrected",,"descriptive",19904,"profiles","","mtbls79","raw","Raw","MTBLS79"
"heldout_qc_cv_mean",28.75722275311,"lower",2488,"percent","","mtbls79","raw","Raw","MTBLS79"
"heldout_qc_cv_median",23.4934863428841,"lower",2488,"percent","","mtbls79","raw","Raw","MTBLS79"
"heldout_qc_cv_sd",19.850171192336,"lower",2488,"percent","","mtbls79","raw","Raw","MTBLS79"
"metabolite_icc_a1_median",0.548997409303439,"higher",2488,"ICC(A,1)","","mtbls79","raw","Raw","MTBLS79"
"residual_ljung_box_proportion_significant",0.00296422829581994,"lower",19904,"proportion","","mtbls79","raw","Raw","MTBLS79"
"residual_run_order_gam_mean_deviance",0.14171601494383,"lower",19904,"proportion","","mtbls79","raw","Raw","MTBLS79"
"residual_run_order_gam_sd_deviance",0.170234776182955,"lower",19904,"proportion","","mtbls79","raw","Raw","MTBLS79"
"retained_features",2488,"higher",2488,"features","","mtbls79","raw","Raw","MTBLS79"
"retained_samples",172,"higher",172,"samples","","mtbls79","raw","Raw","MTBLS79"
"runtime_sec",0,"lower",1,"seconds","no correction","mtbls79","raw","Raw","MTBLS79"
"sample_replicate_pearson_median",0.952320686738354,"higher",20,"correlation","","mtbls79","raw","Raw","MTBLS79"
"batch_features_corrected",,"descriptive",2488,"features","","mtbls79","combat","ComBat","MTBLS79"
"batch_weighted_pc_r2_categorical",0.00644324620622205,"lower",134,"weighted R-squared","Batch is explicitly categorical.","mtbls79","combat","ComBat","MTBLS79"
"biological_associated_features",1000,"context",2488,"features","","mtbls79","combat","ComBat","MTBLS79"
"biological_weighted_pc_r2",0.468838695057742,"higher",134,"weighted R-squared","","mtbls79","combat","ComBat","MTBLS79"
"drift_features_corrected",,"descriptive",2488,"features","","mtbls79","combat","ComBat","MTBLS79"
"drift_profiles_corrected",,"descriptive",19904,"profiles","","mtbls79","combat","ComBat","MTBLS79"
"heldout_qc_cv_mean",16.0925710818008,"lower",2488,"percent","","mtbls79","combat","ComBat","MTBLS79"
"heldout_qc_cv_median",13.5625246962097,"lower",2488,"percent","","mtbls79","combat","ComBat","MTBLS79"
"heldout_qc_cv_sd",9.53336523229443,"lower",2488,"percent","","mtbls79","combat","ComBat","MTBLS79"
"metabolite_icc_a1_median",0.695679958212752,"higher",2488,"ICC(A,1)","","mtbls79","combat","ComBat","MTBLS79"
"residual_ljung_box_proportion_significant",0.00296422829581994,"lower",19904,"proportion","","mtbls79","combat","ComBat","MTBLS79"
"residual_run_order_gam_mean_deviance",0.141715985886593,"lower",19904,"proportion","","mtbls79","combat","ComBat","MTBLS79"
"residual_run_order_gam_sd_deviance",0.170234794379896,"lower",19904,"proportion","","mtbls79","combat","ComBat","MTBLS79"
"retained_features",2488,"higher",2488,"features","","mtbls79","combat","ComBat","MTBLS79"
"retained_samples",172,"higher",172,"samples","","mtbls79","combat","ComBat","MTBLS79"
"runtime_sec",,"lower",1,"seconds","not remeasured; cache retrieval time excluded","mtbls79","combat","ComBat","MTBLS79"
"sample_replicate_pearson_median",0.978177327379065,"higher",20,"correlation","","mtbls79","combat","ComBat","MTBLS79"
"batch_features_corrected",,"descriptive",2488,"features","","mtbls79","qc_rlsc","QC-RLSC","MTBLS79"
"batch_weighted_pc_r2_categorical",0.0287481539807132,"lower",134,"weighted R-squared","Batch is explicitly categorical.","mtbls79","qc_rlsc","QC-RLSC","MTBLS79"
"biological_associated_features",272,"context",2488,"features","","mtbls79","qc_rlsc","QC-RLSC","MTBLS79"
"biological_weighted_pc_r2",0.0507371995449736,"higher",134,"weighted R-squared","","mtbls79","qc_rlsc","QC-RLSC","MTBLS79"
"drift_features_corrected",,"descriptive",2488,"features","","mtbls79","qc_rlsc","QC-RLSC","MTBLS79"
"drift_profiles_corrected",,"descriptive",19904,"profiles","","mtbls79","qc_rlsc","QC-RLSC","MTBLS79"
"heldout_qc_cv_mean",182.843579133277,"lower",2488,"percent","","mtbls79","qc_rlsc","QC-RLSC","MTBLS79"
"heldout_qc_cv_median",179.015296457774,"lower",2488,"percent","","mtbls79","qc_rlsc","QC-RLSC","MTBLS79"
"heldout_qc_cv_sd",12.906551731027,"lower",2488,"percent","","mtbls79","qc_rlsc","QC-RLSC","MTBLS79"
"metabolite_icc_a1_median",0.0924363870265387,"higher",2488,"ICC(A,1)","","mtbls79","qc_rlsc","QC-RLSC","MTBLS79"
