"dataset_key","dataset","method_id","method","metric","value","denominator","units"
"batchcorr_set1","BatchCorr Set 1","winn_auto_batch_qc","WiNN auto-batch (QC)","retained_samples",761,761,"samples"
"batchcorr_set1","BatchCorr Set 1","winn_auto_batch_qc","WiNN auto-batch (QC)","runtime_sec",6.761,1,"seconds"
"batchcorr_set1","BatchCorr Set 1","winn_fixed_no_qc","WiNN fixed default (no QC)","retained_features",199,199,"features"
"batchcorr_set1","BatchCorr Set 1","winn_fixed_no_qc","WiNN fixed default (no QC)","retained_samples",761,761,"samples"
"batchcorr_set1","BatchCorr Set 1","winn_fixed_no_qc","WiNN fixed default (no QC)","runtime_sec",2.324,1,"seconds"
"sacurine","Sacurine","raw","Raw","retained_features",113,113,"features"
"sacurine","Sacurine","raw","Raw","retained_samples",210,210,"samples"
"sacurine","Sacurine","raw","Raw","runtime_sec",0,1,"seconds"
"sacurine","Sacurine","combat","ComBat","retained_features",113,113,"features"
"sacurine","Sacurine","combat","ComBat","retained_samples",210,210,"samples"
"sacurine","Sacurine","combat","ComBat","runtime_sec",,1,"seconds"
"sacurine","Sacurine","qc_rlsc","QC-RLSC","retained_features",113,113,"features"
"sacurine","Sacurine","qc_rlsc","QC-RLSC","retained_samples",210,210,"samples"
"sacurine","Sacurine","qc_rlsc","QC-RLSC","runtime_sec",0.278,1,"seconds"
"sacurine","Sacurine","qc_rfsc","QC-RFSC","retained_features",113,113,"features"
"sacurine","Sacurine","qc_rfsc","QC-RFSC","retained_samples",210,210,"samples"
"sacurine","Sacurine","qc_rfsc","QC-RFSC","runtime_sec",1.915,1,"seconds"
"sacurine","Sacurine","tiger","TIGER","retained_features",113,113,"features"
"sacurine","Sacurine","tiger","TIGER","retained_samples",210,210,"samples"
"sacurine","Sacurine","tiger","TIGER","runtime_sec",87.868,1,"seconds"
"sacurine","Sacurine","serrf","SERRF","retained_features",113,113,"features"
"sacurine","Sacurine","serrf","SERRF","retained_samples",210,210,"samples"
"sacurine","Sacurine","serrf","SERRF","runtime_sec",,1,"seconds"
"sacurine","Sacurine","winn_auto_qc","WiNN auto (QC)","retained_features",113,113,"features"
"sacurine","Sacurine","winn_auto_qc","WiNN auto (QC)","retained_samples",210,210,"samples"
"sacurine","Sacurine","winn_auto_qc","WiNN auto (QC)","runtime_sec",0.938,1,"seconds"
"sacurine","Sacurine","winn_auto_batch_qc","WiNN auto-batch (QC)","retained_features",113,113,"features"
"sacurine","Sacurine","winn_auto_batch_qc","WiNN auto-batch (QC)","retained_samples",210,210,"samples"
"sacurine","Sacurine","winn_auto_batch_qc","WiNN auto-batch (QC)","runtime_sec",1.243,1,"seconds"
"sacurine","Sacurine","winn_fixed_no_qc","WiNN fixed default (no QC)","retained_features",113,113,"features"
"sacurine","Sacurine","winn_fixed_no_qc","WiNN fixed default (no QC)","retained_samples",210,210,"samples"
"sacurine","Sacurine","winn_fixed_no_qc","WiNN fixed default (no QC)","runtime_sec",3.296,1,"seconds"
"waveica","WaveICA","raw","Raw","retained_features",6461,6461,"features"
"waveica","WaveICA","raw","Raw","retained_samples",642,642,"samples"
"waveica","WaveICA","raw","Raw","runtime_sec",0,1,"seconds"
"waveica","WaveICA","combat","ComBat","retained_features",6461,6461,"features"
"waveica","WaveICA","combat","ComBat","retained_samples",642,642,"samples"
"waveica","WaveICA","combat","ComBat","runtime_sec",,1,"seconds"
"waveica","WaveICA","qc_rlsc","QC-RLSC","retained_features",6461,6461,"features"
"waveica","WaveICA","qc_rlsc","QC-RLSC","retained_samples",642,642,"samples"
"waveica","WaveICA","qc_rlsc","QC-RLSC","runtime_sec",22.035,1,"seconds"
"waveica","WaveICA","qc_rfsc","QC-RFSC","retained_features",6461,6461,"features"
"waveica","WaveICA","qc_rfsc","QC-RFSC","retained_samples",642,642,"samples"
"waveica","WaveICA","qc_rfsc","QC-RFSC","runtime_sec",537.756,1,"seconds"
