"metric","value","direction","denominator","units","notes","dataset_key","method_id","method","split_id","dataset"
"retained_samples",500,"higher",500,"samples","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT01","Simulation"
"runtime_sec",17.419,"lower",1,"seconds","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT01","Simulation"
"drift_profiles_corrected",1566,"descriptive",5000,"profiles","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT01","Simulation"
"drift_features_corrected",696,"descriptive",1000,"features","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT01","Simulation"
"batch_features_corrected",721,"descriptive",1000,"features","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT01","Simulation"
"truth_metabolite_profile_icc_mean",0.922327404644696,"higher",1000,"ICC(A,1)","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT01","Simulation"
"truth_sample_profile_pearson_mean",0.925989796505082,"higher",450,"correlation","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT01","Simulation"
"truth_log1p_rmse",0.0715906799569342,"lower",450000,"log1p intensity","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT01","Simulation"
"heldout_qc_cv_mean",12.7228001355458,"lower",1000,"percent","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT01","Simulation"
"heldout_qc_cv_sd",7.49843419638189,"lower",1000,"percent","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT01","Simulation"
"heldout_qc_cv_median",12.4945573511457,"lower",1000,"percent","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT01","Simulation"
"residual_run_order_gam_mean_deviance",0.138883568320701,"lower",5000,"proportion","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT01","Simulation"
"residual_run_order_gam_sd_deviance",0.179881694854508,"lower",5000,"proportion","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT01","Simulation"
"residual_ljung_box_proportion_significant",0.2308,"lower",5000,"proportion","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT01","Simulation"
"batch_weighted_pc_r2_categorical",0.190350353122645,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT01","Simulation"
"retained_features",1000,"higher",1000,"features","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT01","Simulation"
"retained_samples",500,"higher",500,"samples","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT01","Simulation"
"runtime_sec",19.819,"lower",1,"seconds","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT01","Simulation"
"drift_profiles_corrected",1647,"descriptive",5000,"profiles","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT01","Simulation"
"drift_features_corrected",884,"descriptive",1000,"features","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT01","Simulation"
"batch_features_corrected",703,"descriptive",1000,"features","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT01","Simulation"
"truth_metabolite_profile_icc_mean",0.858223120575332,"higher",1000,"ICC(A,1)","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT01","Simulation"
